factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha42,wq101,conditional,factor_registry,24h,-0.01728591,-0.01728591,-15.7616,17783,185.7,3307213,4.7e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#42: rank(vwap-close)/rank(vwap+close); vwap derived as quote_volume/volume; panel rank semantics preserved
wq101_alpha42,wq101,conditional,factor_registry,72h,-0.02672465,-0.02672465,-25.212,17735,185.7,3307213,4.7e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#42: rank(vwap-close)/rank(vwap+close); vwap derived as quote_volume/volume; panel rank semantics preserved
wq101_alpha50,wq101,conditional,factor_registry,1h,0.01170406,0.01170406,11.3528,17772,93.7,1668242,0.495598,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#50: -ts_max(rank(correlation(rank(volume),rank(vwap),5)),5); panel rank semantics preserved"
wq101_alpha50,wq101,conditional,factor_registry,4h,0.0179572,0.0179572,17.3034,17770,93.7,1668242,0.495598,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#50: -ts_max(rank(correlation(rank(volume),rank(vwap),5)),5); panel rank semantics preserved"
wq101_alpha50,wq101,conditional,factor_registry,24h,0.03064958,0.03064958,29.5424,17750,93.7,1668242,0.495598,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#50: -ts_max(rank(correlation(rank(volume),rank(vwap),5)),5); panel rank semantics preserved"
wq101_alpha50,wq101,conditional,factor_registry,72h,0.03399477,0.03399477,33.8007,17702,93.7,1668242,0.495598,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#50: -ts_max(rank(correlation(rank(volume),rank(vwap),5)),5); panel rank semantics preserved"
wq101_alpha55,wq101,conditional,factor_registry,1h,0.01316705,0.01316705,21.3057,17790,184.9,3290061,0.005233,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#55: -correlation(rank((close-ts_min(low,12))/(ts_max(high,12)-ts_min(low,12))),rank(volume),6); panel rank semantics preserved"
wq101_alpha55,wq101,conditional,factor_registry,4h,0.0161492,0.0161492,25.7965,17788,184.9,3290061,0.005233,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#55: -correlation(rank((close-ts_min(low,12))/(ts_max(high,12)-ts_min(low,12))),rank(volume),6); panel rank semantics preserved"
wq101_alpha55,wq101,conditional,factor_registry,24h,0.01849712,0.01849712,29.7732,17768,184.9,3290061,0.005233,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#55: -correlation(rank((close-ts_min(low,12))/(ts_max(high,12)-ts_min(low,12))),rank(volume),6); panel rank semantics preserved"
wq101_alpha55,wq101,conditional,factor_registry,72h,0.01601113,0.01601113,25.8438,17720,184.9,3290061,0.005233,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#55: -correlation(rank((close-ts_min(low,12))/(ts_max(high,12)-ts_min(low,12))),rank(volume),6); panel rank semantics preserved"
wq101_alpha60,wq101,conditional,factor_registry,1h,0.02758128,0.02758128,27.0466,17796,185.7,3304792,0.000779,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#60: -((2*scale(rank(close-location-volume)))-scale(rank(ts_argmax(close,10)))); panel rank/scale semantics preserved"
wq101_alpha60,wq101,conditional,factor_registry,4h,0.02001422,0.02001422,19.6345,17794,185.7,3304792,0.000779,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#60: -((2*scale(rank(close-location-volume)))-scale(rank(ts_argmax(close,10)))); panel rank/scale semantics preserved"
wq101_alpha60,wq101,conditional,factor_registry,24h,0.00659539,0.00659539,6.3198,17774,185.7,3304792,0.000779,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#60: -((2*scale(rank(close-location-volume)))-scale(rank(ts_argmax(close,10)))); panel rank/scale semantics preserved"
wq101_alpha60,wq101,conditional,factor_registry,72h,5.683e-05,5.683e-05,0.056,17726,185.7,3304792,0.000779,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#60: -((2*scale(rank(close-location-volume)))-scale(rank(ts_argmax(close,10)))); panel rank/scale semantics preserved"
