factor_id,cluster_id,cluster_size,marginal_information_score,marginal_information_class,redundancy_penalty,quality_component,paper_component,stability_component,regime_component,capacity_component,nearest_better_factor,reason_notes_zh,reason_notes_en
q158_rsv_20h,4,17,0.3,LOW_MARGINAL_INFO,0.0,0.0,1.0,0.5,0.5,0.5,mom_20h,边际信息评分 0.30，增量价值有限,Marginal info score 0.30 — limited incremental value
vwap_dev_20h,4,17,0.5407,MODERATE_MARGINAL_INFO,0.0622,0.608,1.0,0.8,1.0,0.4,mom_20h,边际信息评分 0.54，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.54 — some incremental value but overlaps with cluster peers
mom_5h,4,17,0.421,LOW_MARGINAL_INFO,0.0,0.645,0.7315,0.8,0.3,0.4,mom_20h,边际信息评分 0.42，增量价值有限,Marginal info score 0.42 — limited incremental value
mom_10h,4,17,0.462,MODERATE_MARGINAL_INFO,0.0,0.6481,1.0,0.8,0.3,0.4,mom_20h,边际信息评分 0.46，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.46 — some incremental value but overlaps with cluster peers
rev_10h,4,17,0.461,MODERATE_MARGINAL_INFO,0.0,0.6439,1.0,0.8,0.3,0.4,mom_20h,边际信息评分 0.46，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.46 — some incremental value but overlaps with cluster peers
price_pos_72h,4,17,0.5564,MODERATE_MARGINAL_INFO,0.1439,0.5731,1.0,0.8,1.0,0.4,mom_20h,边际信息评分 0.56，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.56 — some incremental value but overlaps with cluster peers
ma_gap_5_20,4,17,0.4977,MODERATE_MARGINAL_INFO,0.1191,0.6478,1.0,0.8,0.3,0.4,mom_20h,边际信息评分 0.50，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.50 — some incremental value but overlaps with cluster peers
breakout_dist_20h,4,17,0.4584,MODERATE_MARGINAL_INFO,0.0,0.6336,1.0,0.8,0.3,0.4,mom_20h,边际信息评分 0.46，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.46 — some incremental value but overlaps with cluster peers
ema_12_26_gap,4,17,0.498,MODERATE_MARGINAL_INFO,0.1218,0.6457,1.0,0.8,0.3,0.4,mom_20h,边际信息评分 0.50，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.50 — some incremental value but overlaps with cluster peers
rsi_7h,4,17,0.528,MODERATE_MARGINAL_INFO,0.0335,0.6719,1.0,0.6,1.0,0.4,mom_20h,边际信息评分 0.53，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.53 — some incremental value but overlaps with cluster peers
williams_r_14h,4,17,0.3815,LOW_MARGINAL_INFO,0.0624,0.5913,0.2996,0.8,0.5,0.4,mom_20h,边际信息评分 0.38，增量价值有限,Marginal info score 0.38 — limited incremental value
mom_vol_adjusted_20h,4,17,0.3247,LOW_MARGINAL_INFO,0.0282,0.5049,0.0,0.5,1.0,0.4,mom_20h,边际信息评分 0.32，增量价值有限,Marginal info score 0.32 — limited incremental value
up_down_vol_ratio_20h,4,17,0.4641,MODERATE_MARGINAL_INFO,0.1685,0.5741,1.0,0.5,0.3,0.4,mom_20h,边际信息评分 0.46，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.46 — some incremental value but overlaps with cluster peers
a101_volume_high_alpha_min_84_84,5,1,0.633,DISTINCT_SINGLETON,0.2392,0.7145,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
a101_volume_cap_alpha_min_56_84,6,1,0.7347,DISTINCT_SINGLETON,0.5349,0.7137,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_of_vol_20h,7,1,0.6255,DISTINCT_SINGLETON,0.2187,0.7133,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
range_4h,8,1,0.6243,DISTINCT_SINGLETON,0.2165,0.7118,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_40h,9,1,0.6215,DISTINCT_SINGLETON,0.2112,0.7084,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
volatility_20h,10,3,0.5023,MODERATE_MARGINAL_INFO,0.1018,0.6869,1.0,0.8,0.3,0.4,downside_vol_20h,边际信息评分 0.50，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.50 — some incremental value but overlaps with cluster peers
wvma_20h,10,3,0.4804,MODERATE_MARGINAL_INFO,0.1018,0.6793,1.0,0.6,0.3,0.4,downside_vol_20h,边际信息评分 0.48，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.48 — some incremental value but overlaps with cluster peers
downside_vol_20h,10,3,0.5084,MODERATE_MARGINAL_INFO,0.1109,0.7006,1.0,0.8,0.3,0.4,,边际信息评分 0.51，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.51 — some incremental value but overlaps with cluster peers
a101_volume_cap_alpha_min_80_80,11,1,0.6284,DISTINCT_SINGLETON,0.2392,0.6985,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
a101_volume_low_alpha_min_84_120,12,1,0.73,DISTINCT_SINGLETON,0.5349,0.6973,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
q158_high_low_range,13,3,0.4734,MODERATE_MARGINAL_INFO,0.0,0.6936,1.0,0.8,0.3,0.4,,边际信息评分 0.47，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.47 — some incremental value but overlaps with cluster peers
q158_klen_open,13,3,0.3,LOW_MARGINAL_INFO,0.0001,0.0,1.0,0.5,0.5,0.5,q158_high_low_range,边际信息评分 0.30，增量价值有限,Marginal info score 0.30 — limited incremental value
range_1h,13,3,0.4734,MODERATE_MARGINAL_INFO,0.0,0.6936,1.0,0.8,0.3,0.4,q158_high_low_range,边际信息评分 0.47，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.47 — some incremental value but overlaps with cluster peers
range_24h,14,1,0.6142,DISTINCT_SINGLETON,0.2112,0.683,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
wq101_alpha53,15,1,0.6845,DISTINCT_SINGLETON,0.4198,0.6771,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
mom_40h,16,4,0.5045,MODERATE_MARGINAL_INFO,0.1195,0.6746,1.0,0.8,0.3,0.4,,边际信息评分 0.50，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.50 — some incremental value but overlaps with cluster peers
rev_24h,16,4,0.5011,MODERATE_MARGINAL_INFO,0.11,0.6724,1.0,0.8,0.3,0.4,mom_40h,边际信息评分 0.50，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.50 — some incremental value but overlaps with cluster peers
ma_gap_10_40,16,4,0.4881,MODERATE_MARGINAL_INFO,0.11,0.6204,1.0,0.8,0.3,0.4,mom_40h,边际信息评分 0.49，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.49 — some incremental value but overlaps with cluster peers
rsi_28h,16,4,0.5467,MODERATE_MARGINAL_INFO,0.1195,0.6432,1.0,0.6,1.0,0.4,mom_40h,边际信息评分 0.55，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.55 — some incremental value but overlaps with cluster peers
a101_volume_xs_z_mean_neg_112h,17,2,0.5075,MODERATE_MARGINAL_INFO,0.1316,0.6721,1.0,0.8,0.3,0.4,,边际信息评分 0.51，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.51 — some incremental value but overlaps with cluster peers
a101_vol_xs_z_product_112h,17,2,0.4104,LOW_MARGINAL_INFO,0.1316,0.6584,0.3753,0.8,0.3,0.4,a101_volume_xs_z_mean_neg_112h,边际信息评分 0.41，增量价值有限,Marginal info score 0.41 — limited incremental value
mom_120h,18,1,0.7168,DISTINCT_SINGLETON,0.2846,0.6715,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_ret_corr_20h,19,2,0.5506,MODERATE_MARGINAL_INFO,0.0491,0.6636,1.0,0.8,1.0,0.4,price_volume_corr_20h,边际信息评分 0.55，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.55 — some incremental value but overlaps with cluster peers
price_volume_corr_20h,19,2,0.5523,MODERATE_MARGINAL_INFO,0.0491,0.6705,1.0,0.8,1.0,0.4,,边际信息评分 0.55，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.55 — some incremental value but overlaps with cluster peers
ma_gap_20_80,20,3,0.5626,MODERATE_MARGINAL_INFO,0.1077,0.6412,1.0,0.8,1.0,0.4,rev_72h,边际信息评分 0.56，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.56 — some incremental value but overlaps with cluster peers
mom_72h,20,3,0.4592,MODERATE_MARGINAL_INFO,0.0,0.6369,1.0,0.8,0.3,0.4,rev_72h,边际信息评分 0.46，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.46 — some incremental value but overlaps with cluster peers
rev_72h,20,3,0.4835,MODERATE_MARGINAL_INFO,0.0,0.6541,1.0,0.8,0.5,0.4,,边际信息评分 0.48，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.48 — some incremental value but overlaps with cluster peers
tech_atr,21,1,0.6033,DISTINCT_SINGLETON,0.215,0.6404,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
breakout_dist_48h,22,1,0.6181,DISTINCT_SINGLETON,0.262,0.6354,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
xs_rank_vol,23,1,0.5991,DISTINCT_SINGLETON,0.215,0.6259,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
price_pos_120h,24,1,0.6918,DISTINCT_SINGLETON,0.262,0.6117,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
mom_accel_20h,25,1,0.7289,DISTINCT_SINGLETON,0.371,0.61,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
realized_skew_20h,26,1,0.7296,DISTINCT_SINGLETON,0.4374,0.6053,0.8794,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
clv_20h,27,1,0.663,DISTINCT_SINGLETON,0.4201,0.602,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
xs_rank_ret_1h,28,1,0.6173,DISTINCT_SINGLETON,0.3553,0.6007,1.0,0.6,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
price_pos_24h,29,1,0.5997,DISTINCT_SINGLETON,0.2412,0.5964,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
amihud_illiquidity_20h,30,1,0.7671,DISTINCT_SINGLETON,0.4961,0.5927,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
tech_macd,31,1,0.6985,DISTINCT_SINGLETON,0.3025,0.5867,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_zscore_48h,32,2,0.5078,MODERATE_MARGINAL_INFO,0.0022,0.5485,1.0,0.8,1.0,0.4,qvol_zscore_48h,边际信息评分 0.51，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.51 — some incremental value but overlaps with cluster peers
qvol_zscore_48h,32,2,0.5166,MODERATE_MARGINAL_INFO,0.0022,0.5839,1.0,0.8,1.0,0.4,,边际信息评分 0.52，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.52 — some incremental value but overlaps with cluster peers
funding_rate_level_20h,33,1,0.6699,DISTINCT_SINGLETON,0.4611,0.5768,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
rev_2h,34,1,0.465,DISTINCT_SINGLETON,0.2397,0.5697,0.0,0.5,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
q158_kup_open,35,2,0.3484,LOW_MARGINAL_INFO,0.1614,0.0,1.0,0.5,0.5,0.5,candle_wick_upper,边际信息评分 0.35，增量价值有限,Marginal info score 0.35 — limited incremental value
candle_wick_upper,35,2,0.4889,MODERATE_MARGINAL_INFO,0.1614,0.5621,1.0,0.8,0.3,0.4,,边际信息评分 0.49，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.49 — some incremental value but overlaps with cluster peers
realized_kurt_20h,36,1,0.5308,DISTINCT_SINGLETON,0.5386,0.5563,0.073,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_ratio_20_80,37,1,0.5289,DISTINCT_SINGLETON,0.2431,0.5512,0.6612,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_zscore_20h,38,3,0.4355,LOW_MARGINAL_INFO,0.0007,0.5413,1.0,0.8,0.3,0.4,qvol_zscore_20h,边际信息评分 0.44，增量价值有限,Marginal info score 0.44 — limited incremental value
qvol_zscore_20h,38,3,0.5075,MODERATE_MARGINAL_INFO,0.0011,0.5489,1.0,0.8,1.0,0.4,,边际信息评分 0.51，有一定增量价值但与簇内其他因子重叠,Marginal info score 0.51 — some incremental value but overlaps with cluster peers
range_breakout_vol_confirm_20h,38,3,0.2649,LOW_MARGINAL_INFO,0.0007,0.4988,0.0,0.5,0.5,0.4,qvol_zscore_20h,边际信息评分 0.26，增量价值有限,Marginal info score 0.26 — limited incremental value
qvol_ma_ratio_5_20,39,1,0.6184,DISTINCT_SINGLETON,0.3481,0.5333,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
trend_efficiency_24h,40,1,0.7129,DISTINCT_SINGLETON,0.6328,0.5204,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
ksft_5h,41,1,0.8285,DISTINCT_SINGLETON,0.736,0.5185,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
wq101_alpha12,42,1,0.8088,DISTINCT_SINGLETON,0.6792,0.5183,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
qvol_ma_ratio_20_80,43,1,0.5755,DISTINCT_SINGLETON,0.2431,0.51,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
volume_pressure_20h,44,1,0.354,DISTINCT_SINGLETON,0.2055,0.5048,0.0,0.5,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
taker_buy_zscore_20h,45,1,0.6761,DISTINCT_SINGLETON,0.3072,0.5032,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
xs_rank_mom_accel,46,1,0.4869,DISTINCT_SINGLETON,0.371,0.4885,0.0,0.5,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
candle_wick_lower,47,1,0.5333,DISTINCT_SINGLETON,0.2076,0.486,1.0,0.6,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
funding_rate_zscore_80h,48,1,0.7403,DISTINCT_SINGLETON,0.8024,0.4738,0.4302,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
taker_buy_ratio_20h,49,1,0.7272,DISTINCT_SINGLETON,0.7214,0.4638,1.0,0.8,0.3,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
vol_ratio_5_20,50,1,0.6582,DISTINCT_SINGLETON,0.3633,0.4534,1.0,0.6,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
taker_buy_delta_5h,51,1,0.6606,DISTINCT_SINGLETON,0.3072,0.4492,1.0,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
funding_rate_change_24h,52,1,0.8259,DISTINCT_SINGLETON,0.8819,0.4022,0.887,0.8,1.0,0.4,,独立因子，无冗余关联，边际信息最高,Standalone factor — maximum marginal information
