dimension,question,existing_artifact,existing_status,is_displayed_on_factor_page,current_gap,severity,recommended_next_task,notes
portfolio_extraction,"Are Sharpe, annualized return, volatility, drawdown, positive month rate reasonable?",factor_diagnostics_summary.csv,AVAILABLE,"Yes (all 5 metrics shown)",,NONE,,
portfolio_extraction,"Are returns dominated by a few months?",factor_monthly_long_short_series.csv + factor_cumulative_long_short_curve.csv,AVAILABLE,"Yes (Monthly LS chart + Cumulative LS curve in detail panel)",,NONE,,"Charts show temporal distribution"
portfolio_extraction,"Does the cumulative curve look stable or path-dependent?",factor_cumulative_long_short_curve.csv,AVAILABLE,"Yes (Cumulative LS curve with drawdown shading)",,NONE,,
quantile_shape,"Are bucket returns monotonic or near-monotonic?",factor_level_quantile_return_summary.csv,AVAILABLE,"Partially (quantile shape label in old metric_panel, not in new diagnostics)",Quantile shape analysis is in the old evaluator outputs but not in the new diagnostics summary. The detail panel does not show quantile shape.,MEDIUM,PM-16B could add quantile shape to diagnostics summary,"Quantile data exists (35,380 period-level rows) but shape analysis not surfaced"
quantile_shape,"Is signal only present in tails?",factor_level_quantile_return_summary.csv,AVAILABLE,"Partially (same gap as above)",Bucket-level returns exist but tail-vs-middle analysis not automated.,MEDIUM,PM-16B could add tail concentration metric,Data exists but analysis not surfaced
quantile_shape,"Does RankIC disagree with quantile shape?",Cross-referencing rankic_mean vs quantile returns,NOT_AUTOMATED,"No",No automated cross-check between RankIC direction and quantile monotonicity.,MEDIUM,PM-16B could add IC-quantile consistency check,Would catch cases where IC is strong but quantiles are non-monotonic
direction_economic,"Is expected direction positive/negative/conditional?",factor_bilingual_cards.csv (expected_direction),AVAILABLE,"Yes (direction badges)",,NONE,,
direction_economic,"Does the bilingual explanation match the formula?",factor_bilingual_cards.csv (formula_zh, intuition_zh),AVAILABLE,"Yes (bilingual cards in detail panel)",,NONE,,"71/71 cards generated, 41 COMPLETE"
direction_economic,"Is direction ambiguous or regime-dependent?",factor_bilingual_cards.csv (metadata_quality),AVAILABLE,"Yes (quality badges: 完整/方向模糊/需复核/公式模糊)",,NONE,,"21 DIRECTION_AMBIGUOUS, 6 NEEDS_REVIEW, 3 FORMULA_AMBIGUOUS"
direction_economic,"Does metadata overstate the factor?",factor_card_qa_report.csv,AVAILABLE,"Partially (qa_notes in data but not prominently shown)",QA notes exist but are not prominently displayed on the page.,LOW,PM-17 could add QA notes to detail panel,Minor — quality badges already convey review status
novelty_redundancy,"Is the factor distinct from existing factors?",factor_redundancy.csv (6 pairs only),SPARSE,"Partially (redundancy_level column, but only 6 pairs computed)",Redundancy analysis is sparse — only 6 pairs exist. Most factors have NO_CURRENT_PAIR.,HIGH,PM-18 should expand redundancy analysis to all factor pairs,"Current: 6 pairs. Need: C(71,2)=2485 pairs for full coverage"
novelty_redundancy,"Is it redundant with same-family factors?",factor_redundancy.csv,SPARSE,"Partially (same gap as above)",Same-family redundancy not systematically measured.,HIGH,PM-18 should compute within-family redundancy,"e.g., mom_5h/10h/20h/40h/72h correlations"
novelty_redundancy,"Is redundancy sufficiently measured, or still sparse?",factor_redundancy.csv (6 pairs),SPARSE,"Partially (6 pairs shown in detail panel)",Major gap — 6/2485 pairs = 0.2% coverage.,HIGH,PM-18: compute full pairwise redundancy matrix,Critical for avoiding duplicate factors
extensibility,"Can a new factor be added through run_factor_intake.py?",run_factor_intake.py,AVAILABLE,"Not applicable (page shows current state, not process)",,NONE,,"Intake pipeline exists and works"
extensibility,"Does the new factor automatically receive diagnostics, metadata, page integration?",Pipeline: build_factor_values → evaluate_factors → build_factor_diagnostics_metrics → build_factor_bilingual_cards → _build_factor_eval_html,AUTOMATED,"Not applicable",Pipeline is fully automated but not documented as a regeneration contract.,MEDIUM,PM-19 should document the regeneration contract explicitly,"Pipeline works but documentation is scattered across multiple audit notes"
extensibility,"What scripts must be rerun after new factors are added?",START_HERE.md + audit notes,DOCUMENTED,"Not applicable",Regeneration sequence is documented but not as a single authoritative reference.,LOW,PM-19 should create a single regeneration contract document,Minor — START_HERE.md covers this
