symbol,base_asset,normalized_base,coingecko_id,map_source,map_status,notes
1INCHUSDT,1INCH,1INCH,1inch,manual,RESOLVED,
ENJUSDT,ENJ,ENJ,enjincoin,manual,RESOLVED,
IMXUSDT,IMX,IMX,immutable-x,manual,RESOLVED,
LRCUSDT,LRC,LRC,loopring,manual,RESOLVED,
COTIUSDT,COTI,COTI,coti,manual,RESOLVED,
BATUSDT,BAT,BAT,basic-attention-token,manual,RESOLVED,
STORJUSDT,STORJ,STORJ,storj,manual,RESOLVED,
BANDUSDT,BAND,BAND,band-protocol,manual,RESOLVED,
OCEANUSDT,OCEAN,OCEAN,ocean-protocol,manual,RESOLVED,
ANKRUSDT,ANKR,ANKR,ankr,manual,RESOLVED,
CTSIUSDT,CTSI,CTSI,cartesi,manual,RESOLVED,
KNCUSDT,KNC,KNC,kyber-network-crystal,manual,RESOLVED,
RENUSDT,REN,REN,republic-protocol,manual,RESOLVED,
SKLUSDT,SKL,SKL,skale,manual,RESOLVED,
CVCUSDT,CVC,CVC,civic,manual,RESOLVED,
MASKUSDT,MASK,MASK,mask-network,manual,RESOLVED,
GALAUSDT,GALA,GALA,gala,manual,RESOLVED,
APEUSDT,APE,APE,apecoin,manual,RESOLVED,
DYDXUSDT,DYDX,DYDX,dydx-chain,manual,RESOLVED,
GMXUSDT,GMX,GMX,gmx,manual,RESOLVED,
PENDLEUSDT,PENDLE,PENDLE,pendle,manual,RESOLVED,
LDOUSDT,LDO,LDO,lido-dao,manual,RESOLVED,
RPLUSDT,RPL,RPL,rocket-pool,manual,RESOLVED,
SSVUSDT,SSV,SSV,ssv-network,manual,RESOLVED,
ENSUSDT,ENS,ENS,ethereum-name-service,manual,RESOLVED,
BLURUSDT,BLUR,BLUR,blur,manual,RESOLVED,
WLDUSDT,WLD,WLD,worldcoin-wld,manual,RESOLVED,
SEIUSDT,SEI,SEI,sei-network,manual,RESOLVED,
TIAUSDT,TIA,TIA,celestia,manual,RESOLVED,
SUIUSDT,SUI,SUI,sui,manual,RESOLVED,
INJUSDT,INJ,INJ,injective-protocol,manual,RESOLVED,
JUPUSDT,JUP,JUP,jupiter-exchange-solana,manual,RESOLVED,
STXUSDT,STX,STX,blockstack,manual,RESOLVED,
ORDIUSDT,ORDI,ORDI,ordinals,manual,RESOLVED,
1000BONKUSDT,1000BONK,BONK,bonk,manual,RESOLVED,contract multiplier 1000
1000PEPEUSDT,1000PEPE,PEPE,pepe,manual,RESOLVED,contract multiplier 1000
1000SHIBUSDT,1000SHIB,SHIB,shiba-inu,manual,RESOLVED,contract multiplier 1000
1000FLOKIUSDT,1000FLOKI,FLOKI,floki,manual,RESOLVED,contract multiplier 1000
1000LUNCUSDT,1000LUNC,LUNC,terra-luna,manual,RESOLVED,contract multiplier 1000
1000RATSUSDT,1000RATS,RATS,,auto,CHECK,uncommon token
1000SATSUSDT,1000SATS,SATS,sats-ordinals,manual,RESOLVED,contract multiplier 1000
1MBABYDOGEUSDT,1MBABYDOGE,MBABYDOGE,baby-doge-coin,manual,RESOLVED,contract multiplier 1000000
WIFUSDT,WIF,WIF,dogwifcoin,manual,RESOLVED,
BOMEUSDT,BOME,BOME,book-of-meme,manual,RESOLVED,
PYTHUSDT,PYTH,PYTH,pyth-network,manual,RESOLVED,
WUSDT,W,W,wormhole,manual,RESOLVED,
ALTUSDT,ALT,ALT,altlayer,manual,RESOLVED,
PIXELUSDT,PIXEL,PIXEL,pixels,manual,RESOLVED,
STRKUSDT,STRK,STRK,starknet,manual,RESOLVED,
DYMUSDT,DYM,DYM,dymension,manual,RESOLVED,
MANTAUSDT,MANTA,MANTA,manta-network,manual,RESOLVED,
ONDOUSDT,ONDO,ONDO,ondo-finance,manual,RESOLVED,
ENSUSDT,ENS,ENS,ethereum-name-service,manual,RESOLVED,
BERABERUSDT,BERA,BERA,berachain-bera,manual,RESOLVED,
KASUSDT,KAS,KAS,kaspa,manual,RESOLVED,
TONUSDT,TON,TON,the-open-network,manual,RESOLVED,
NOTUSDT,NOT,NOT,notcoin,manual,RESOLVED,
MEWUSDT,MEW,MEW,cat-in-a-dogs-world,manual,RESOLVED,
TNSRUSDT,TNSR,TNSR,tensor,manual,RESOLVED,
SAGAUSDT,SAGA,SAGA,saga,manual,RESOLVED,
REZUSDT,REZ,REZ,renzo,manual,RESOLVED,
BBUSDT,BB,BB,bouncebit,manual,RESOLVED,
IOUSDT,IO,IO,io-net,manual,RESOLVED,
ZKUSDT,ZK,ZK,zksync,manual,RESOLVED,
LISTAUSDT,LISTA,LISTA,lista,manual,RESOLVED,
ZROUSDT,ZRO,ZRO,layerzero,manual,RESOLVED,
GUSDT,G,G,gravity,manual,RESOLVED,
BANANAUSDT,BANANA,BANANA,banana-gun,manual,RESOLVED,
SYNUSDT,SYN,SYN,synapse-2,manual,RESOLVED,
SYSUSDT,SYS,SYS,syscoin,manual,RESOLVED,
BAKEUSDT,BAKE,BAKE,bakerytoken,manual,RESOLVED,
CKBUSDT,CKB,CKB,nervos-network,manual,RESOLVED,
ARUSDT,AR,AR,arweave,manual,RESOLVED,
MOVRUSDT,MOVR,MOVR,moonriver,manual,RESOLVED,
GLMRUSDT,GLMR,GLMR,moonbeam,manual,RESOLVED,
ROSEUSDT,ROSE,ROSE,oasis-network,manual,RESOLVED,
ONEUSDT,ONE,ONE,harmony,manual,RESOLVED,
IOTAUSDT,IOTA,IOTA,iota,manual,RESOLVED,
ONTUSDT,ONT,ONT,ontology,manual,RESOLVED,
ZILUSDT,ZIL,ZIL,zilliqa,manual,RESOLVED,
IOTXUSDT,IOTX,IOTX,iotex,manual,RESOLVED,
AUDIOUSDT,AUDIO,AUDIO,audius,manual,RESOLVED,
ALICEUSDT,ALICE,ALICE,my-neighbor-alice,manual,RESOLVED,
CHRUSDT,CHR,CHR,chromaway,manual,RESOLVED,
DARUSDT,DAR,DAR,mines-of-dalarnia,manual,RESOLVED,
PERPUSDT,PERP,PERP,perpetual-protocol,manual,RESOLVED,
TRBUSDT,TRB,TRB,tellor,manual,RESOLVED,
API3USDT,API3,API3,api3,manual,RESOLVED,
CELRUSDT,CELR,CELR,celer-network,manual,RESOLVED,
TWTUSDT,TWT,TWT,trust-wallet-token,manual,RESOLVED,
HOTUSDT,HOT,HOT,holotoken,manual,RESOLVED,
REEFUSDT,REEF,REEF,reef,manual,RESOLVED,
XVSUSDT,XVS,XVS,venus,manual,RESOLVED,
ALPACAUSDT,ALPACA,ALPACA,alpaca-finance,manual,RESOLVED,
BAOUSDT,BAO,BAO,bao-finance,manual,RESOLVED,
PEOPLEUSDT,PEOPLE,PEOPLE,constitutiondao,manual,RESOLVED,
IDUSDT,ID,ID,space-id,manual,RESOLVED,
EDUUSDT,EDU,EDU,open-campus,manual,RESOLVED,
AMBUSDT,AMB,AMB,airdao,manual,RESOLVED,
MTLUSDT,MTL,MTL,metal,manual,RESOLVED,
LOKAUSDT,LOKA,LOKA,my-neighbor-alice,manual,CHECK,may overlap with ALICE
COMBOUSDT,COMBO,COMBO,combo-2,manual,CHECK,verify coingecko id
NTRNUSDT,NTRN,NTRN,neutron-3,manual,RESOLVED,
POLYXUSDT,POLYX,POLYX,polymesh,manual,RESOLVED,
ADAUSDT,ADA,ADA,cardano,manual,RESOLVED,
PENDLEUSDT,PENDLE,PENDLE,pendle,manual,RESOLVED,
WBTCUSDT,WBTC,WBTC,wrapped-bitcoin,manual,RESOLVED,
TIAUSDT,TIA,TIA,celestia,manual,RESOLVED,
JTOUSDT,JTO,JTO,jito-governance-token,manual,RESOLVED,
BONKUSDT,BONK,BONK,bonk,manual,RESOLVED,
MINAUSDT,MINA,MINA,mina-protocol,manual,RESOLVED,
CFXUSDT,CFX,CFX,conflux-token,manual,RESOLVED,
ACEUSDT,ACE,ACE,endurance,manual,RESOLVED,
NFPUSDT,NFP,NFP,non-fungible-pepe,manual,CHECK,verify
XAIUSDT,XAI,XAI,xai-blockchain,manual,RESOLVED,
MANTAUSDT,MANTA,MANTA,manta-network,manual,RESOLVED,
WUSDT,W,W,wormhole,manual,RESOLVED,
PDAUSDT,PDA,PDA,playdapp,manual,RESOLVED,
JUPUSDT,JUP,JUP,jupiter-exchange-solana,manual,RESOLVED,
TNSRUSDT,TNSR,TNSR,tensor,manual,RESOLVED,
OMUSDT,OM,OM,mantra-dao,manual,RESOLVED,
CATIUSDT,CATI,CATI,catizen,manual,RESOLVED,
SCRUSDT,SCR,SCR,scroll,manual,RESOLVED,
BIOUSDT,BIO,BIO,bio-protocol,manual,RESOLVED,
ASTERUSDT,ASTER,ASTER,astherus,manual,CHECK,verify
COOKIEUSDT,COOKIE,COOKIE,cookie,manual,CHECK,verify
ANIMEUSDT,ANIME,ANIME,anime-token,manual,CHECK,verify
LUMIAUSDT,LUMIA,LUMIA,lumia,manual,CHECK,verify
FORMUSDT,FORM,FORM,formation-fi,manual,CHECK,verify
VIRTUALUSDT,VIRTUAL,VIRTUAL,virtual-protocol,manual,RESOLVED,
APEXUSDT,APEX,APEX,apex-token,manual,CHECK,verify
KMNOUSDT,KMNO,KMNO,kamino,manual,CHECK,verify
ETHFIUSDT,ETHFI,ETHFI,ether-fi,manual,RESOLVED,
EIGENUSDT,EIGEN,EIGEN,eigenlayer,manual,RESOLVED,
