factor_id,family,formula_summary,formula_sign_notes,expected_direction,raw_ic_1h,adj_ic_1h,raw_ic_4h,adj_ic_4h,raw_ic_24h,adj_ic_24h,raw_ic_72h,adj_ic_72h,raw_ic_sign_1h,adjusted_ic_sign_1h,phase6h_prior_direction_status,phase6h_prior_notes,current_lifecycle_status,used_in_current_signal,signal_transform,signal_role,semantic_status,recommended_action
tech_atr,technical,Average True Range 14 bars,,conditional,0.004487,0.004487,0.005673,0.005673,0.01534,0.01534,0.022704,0.022704,POSITIVE,POSITIVE,CONDITIONAL,unstable,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
mom_5h,momentum,close/close_5h_ago - 1,,positive,-0.032322,-0.032322,-0.03202,-0.03202,-0.021029,-0.021029,-0.010636,-0.010636,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
mom_10h,momentum,close/close_10h_ago - 1,,positive,-0.027193,-0.027193,-0.029898,-0.029898,-0.026575,-0.026575,-0.013799,-0.013799,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
mom_40h,momentum,close/close_40h_ago - 1,,positive,-0.017703,-0.017703,-0.025499,-0.025499,-0.028434,-0.028434,-0.021487,-0.021487,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
rev_3h,reversal,-(close/close_3h_ago - 1),,negative,0.034385,-0.034385,0.031795,-0.031795,0.017209,-0.017209,0.007994,-0.007994,POSITIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
rev_10h,reversal,-(close/close_10h_ago - 1),,negative,0.027193,-0.027193,0.029898,-0.029898,0.026575,-0.026575,0.013799,-0.013799,POSITIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
rev_24h,reversal,-(close/close_24h_ago - 1),,negative,0.022422,-0.022422,0.029998,-0.029998,0.029378,-0.029378,0.020075,-0.020075,POSITIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
vol_5h,volatility,"rolling_std(ret, 5)",,negative,-0.033746,0.033746,-0.046994,0.046994,-0.073047,0.073047,-0.080509,0.080509,NEGATIVE,POSITIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,risk_pressure,DIRECTION_CONSISTENT,No action needed
vol_40h,volatility,"rolling_std(ret, 40)",,negative,-0.038423,0.038423,-0.057193,0.057193,-0.091597,0.091597,-0.103597,0.103597,NEGATIVE,POSITIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,risk_pressure,DIRECTION_CONSISTENT,No action needed
vol_ratio_5_20,volatility,"std(ret,5)/std(ret,20)",,conditional,-0.006117,-0.006117,-0.004445,-0.004445,-0.004167,-0.004167,-0.000535,-0.000535,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
range_1h,range_position,(high-low)/close,,conditional,-0.037116,-0.037116,-0.052917,-0.052917,-0.080661,-0.080661,-0.090894,-0.090894,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,position_timing_overlay,CONDITIONAL_USED_IN_SIGNAL,Document signal transform justification; consider metadata update
range_4h,range_position,(HH4-LL4)/close,,conditional,-0.036491,-0.036491,-0.052566,-0.052566,-0.081176,-0.081176,-0.092339,-0.092339,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,position_timing_overlay,CONDITIONAL_USED_IN_SIGNAL,Document signal transform justification; consider metadata update
range_24h,range_position,(HH24-LL24)/close,,conditional,-0.033058,-0.033058,-0.048792,-0.048792,-0.078669,-0.078669,-0.094086,-0.094086,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
price_pos_24h,price_position,(close-LL24)/(HH24-LL24+eps),,conditional,-0.021024,-0.021024,-0.020822,-0.020822,-0.009577,-0.009577,0.001498,0.001498,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,position_timing_overlay,CONDITIONAL_USED_IN_SIGNAL,Document signal transform justification; consider metadata update
price_pos_72h,price_position,(close-LL72)/(HH72-LL72+eps),,conditional,-0.015718,-0.015718,-0.018362,-0.018362,-0.011129,-0.011129,0.002561,0.002561,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
vol_zscore_20h,volume_liquidity,(vol-SMA20)/STD20,,positive,-0.006326,-0.006326,-0.007117,-0.007117,-0.001385,-0.001385,0.000762,0.000762,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
vol_zscore_48h,volume_liquidity,(vol-SMA48)/STD48,,positive,-0.006995,-0.006995,-0.008903,-0.008903,-0.004967,-0.004967,-0.001009,-0.001009,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
qvol_zscore_20h,quote_volume_liquidity,(qvol-SMA20)/STD20,,positive,-0.006858,-0.006858,-0.007968,-0.007968,-0.002139,-0.002139,0.000244,0.000244,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
qvol_zscore_48h,quote_volume_liquidity,(qvol-SMA48)/STD48,,positive,-0.007457,-0.007457,-0.009842,-0.009842,-0.006019,-0.006019,-0.002142,-0.002142,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
ma_gap_5_20,trend_ma,(SMA5-SMA20)/SMA20,,positive,-0.016,-0.016,-0.023278,-0.023278,-0.025637,-0.025637,-0.013644,-0.013644,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
ma_gap_10_40,trend_ma,(SMA10-SMA40)/SMA40,,positive,-0.01075,-0.01075,-0.020286,-0.020286,-0.023797,-0.023797,-0.016357,-0.016357,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
breakout_dist_20h,breakout,(close-HH20)/(HH20-LL20+eps),,positive,-0.021392,-0.021392,-0.020662,-0.020662,-0.008058,-0.008058,0.003245,0.003245,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
breakout_dist_48h,breakout,(close-HH48)/(HH48-LL48+eps),,positive,-0.017646,-0.017646,-0.01993,-0.01993,-0.01089,-0.01089,0.00258,0.00258,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
candle_body,intraday_candle,(close-open)/(high-low+eps),,conditional,-0.031128,-0.031128,-0.022799,-0.022799,-0.010006,-0.010006,-0.004071,-0.004071,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
candle_wick_upper,intraday_candle,"(high-max(open,close))/(high-low+eps)",,negative,0.010023,-0.010023,0.00356,-0.00356,-0.005602,0.005602,-0.007525,0.007525,POSITIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
candle_wick_lower,intraday_candle,"(min(open,close)-low)/(high-low+eps)",,positive,-0.006118,-0.006118,-0.000374,-0.000374,0.003389,0.003389,0.00211,0.00211,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
xs_rank_ret_1h,cross_sectional_normalized,per-symbol 1h return; xs rank by caller,,conditional,-0.036506,-0.036506,-0.028157,-0.028157,-0.011881,-0.011881,-0.004559,-0.004559,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,DIAGNOSTIC_ONLY,False,NONE,,CONDITIONAL_DIAGNOSTIC_ONLY,Keep diagnostic; direction unknown
xs_rank_vol,cross_sectional_normalized,per-symbol 20h rolling mean volume; xs rank by caller,,conditional,-0.019129,-0.019129,-0.029199,-0.029199,-0.054863,-0.054863,-0.068675,-0.068675,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,RANK_PERCENTILE_GATE,liquidity_gate,CONDITIONAL_USED_IN_SIGNAL,Document signal transform justification; consider metadata update
ema_12_26_gap,technical_indicators,(EMA12-EMA26)/EMA26,,positive,-0.015242,-0.015242,-0.024928,-0.024928,-0.028321,-0.028321,-0.017292,-0.017292,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
rsi_7h,technical_indicators,Wilder RSI 7,,negative,-0.030477,0.030477,-0.032771,0.032771,-0.022794,0.022794,-0.011818,0.011818,NEGATIVE,POSITIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,oscillator_exhaustion,DIRECTION_CONSISTENT,No action needed
rsi_28h,technical_indicators,Wilder RSI 28,,negative,-0.025334,0.025334,-0.032994,0.032994,-0.032244,0.032244,-0.018049,0.018049,NEGATIVE,POSITIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,oscillator_exhaustion,DIRECTION_CONSISTENT,No action needed
williams_r_14h,technical_indicators,(HH14-close)/(HH14-LL14+eps),,negative,0.022988,-0.022988,0.020707,-0.020707,0.006883,-0.006883,-0.003385,0.003385,POSITIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
downside_vol_20h,realized_skew_kurtosis,"rolling_std(min(ret,0), 20)",,negative,-0.02887,0.02887,-0.044452,0.044452,-0.074249,0.074249,-0.089635,0.089635,NEGATIVE,POSITIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,risk_pressure,DIRECTION_CONSISTENT,No action needed
vol_of_vol_20h,realized_skew_kurtosis,"rolling_std(rolling_std(ret,5),20)",,negative,-0.03028,0.03028,-0.046115,0.046115,-0.072806,0.072806,-0.080223,0.080223,NEGATIVE,POSITIVE,NOT_EVALUATED_IN_6H,,ACTIVE_IN_SIGNAL,True,MULTIPLY_BY_NEG1,risk_pressure,DIRECTION_CONSISTENT,No action needed
mom_accel_20h,momentum,"mom_20h - delay(mom_20h, 5)",,positive,-0.023946,-0.023946,-0.024419,-0.024419,-0.018582,-0.018582,-0.010796,-0.010796,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
qvol_ma_ratio_5_20,quote_volume_liquidity,"SMA(qvol,5)/SMA(qvol,20)-1",,positive,-0.005389,-0.005389,-0.004533,-0.004533,-0.005028,-0.005028,-0.002046,-0.002046,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
ma_gap_20_80,trend_ma,(SMA20-SMA80)/SMA80,,positive,-0.006943,-0.006943,-0.015491,-0.015491,-0.021131,-0.021131,-0.01304,-0.01304,NEGATIVE,NEGATIVE,NOT_EVALUATED_IN_6H,,CANDIDATE,False,NONE,,OK_NOT_IN_SIGNAL,No action needed
taker_buy_ratio_20h,taker_imbalance,"rolling_mean(taker_buy_qvol/qvol, 20)",,positive,,,,,,,,,N/A,N/A,NOT_EVALUATED_IN_6H,,MISSING_INPUT_DATA,False,NONE,,MISSING_INPUT_DATA,Acquire data source
taker_buy_zscore_20h,taker_imbalance,"zscore(taker_buy_qvol/qvol, 20)",,positive,,,,,,,,,N/A,N/A,NOT_EVALUATED_IN_6H,,MISSING_INPUT_DATA,False,NONE,,MISSING_INPUT_DATA,Acquire data source
taker_buy_delta_5h,taker_imbalance,"ratio - delay(ratio, 5)",,positive,,,,,,,,,N/A,N/A,NOT_EVALUATED_IN_6H,,MISSING_INPUT_DATA,False,NONE,,MISSING_INPUT_DATA,Acquire data source
funding_rate_level_20h,funding_rate,"rolling_mean(funding_rate, 20)",,negative,,,,,,,,,N/A,N/A,NOT_EVALUATED_IN_6H,,MISSING_INPUT_DATA,False,NONE,,MISSING_INPUT_DATA,Acquire data source
funding_rate_zscore_80h,funding_rate,"zscore(funding_rate, 80)",,negative,,,,,,,,,N/A,N/A,NOT_EVALUATED_IN_6H,,MISSING_INPUT_DATA,False,NONE,,MISSING_INPUT_DATA,Acquire data source
funding_rate_change_24h,funding_rate,"funding_rate - delay(funding_rate, 24)",,negative,,,,,,,,,N/A,N/A,NOT_EVALUATED_IN_6H,,MISSING_INPUT_DATA,False,NONE,,MISSING_INPUT_DATA,Acquire data source
