factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
rsi_28h,downside_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,-0.101246,-0.172836,0.172836,213661,LOW_REDUNDANCY
rsi_28h,vol_of_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,0.051452,0.065118,0.065118,213661,LOW_REDUNDANCY
rsi_28h,mom_accel_20h,technical_indicators,momentum,False,TIER_1_STABLE_DIAGNOSTIC,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.157822,0.179587,0.179587,213661,LOW_REDUNDANCY
rsi_28h,qvol_ma_ratio_5_20,technical_indicators,quote_volume_liquidity,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.108432,0.069327,0.069327,213661,LOW_REDUNDANCY
rsi_28h,ma_gap_20_80,technical_indicators,trend_ma,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.537995,0.705607,0.705607,211111,MODERATE_REDUNDANCY
rsi_7h,williams_r_14h,technical_indicators,technical_indicators,True,TIER_1_STABLE_DIAGNOSTIC,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.896311,-0.917576,0.917576,214411,HIGH_REDUNDANCY
rsi_7h,downside_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,-0.119919,-0.194301,0.194301,214061,LOW_REDUNDANCY
rsi_7h,vol_of_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,0.011806,0.016525,0.016525,213861,LOW_REDUNDANCY
rsi_7h,mom_accel_20h,technical_indicators,momentum,False,TIER_1_STABLE_DIAGNOSTIC,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.349255,0.514514,0.514514,213811,LOW_REDUNDANCY
rsi_7h,qvol_ma_ratio_5_20,technical_indicators,quote_volume_liquidity,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.105513,0.080994,0.080994,214111,LOW_REDUNDANCY
rsi_7h,ma_gap_20_80,technical_indicators,trend_ma,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.167443,0.206036,0.206036,211111,LOW_REDUNDANCY
williams_r_14h,downside_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.112984,0.187338,0.187338,214061,LOW_REDUNDANCY
williams_r_14h,vol_of_vol_20h,technical_indicators,realized_skew_kurtosis,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.012807,0.01731,0.01731,213861,LOW_REDUNDANCY
williams_r_14h,mom_accel_20h,technical_indicators,momentum,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.328171,-0.514516,0.514516,213811,LOW_REDUNDANCY
williams_r_14h,qvol_ma_ratio_5_20,technical_indicators,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,-0.094364,-0.085266,0.085266,214111,LOW_REDUNDANCY
williams_r_14h,ma_gap_20_80,technical_indicators,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,-0.064379,-0.075596,0.075596,211111,LOW_REDUNDANCY
downside_vol_20h,vol_of_vol_20h,realized_skew_kurtosis,realized_skew_kurtosis,True,TIER_1_STABLE_DIAGNOSTIC,TIER_1_STABLE_DIAGNOSTIC,0.840034,0.817009,0.817009,213861,MODERATE_REDUNDANCY
downside_vol_20h,mom_accel_20h,realized_skew_kurtosis,momentum,False,TIER_1_STABLE_DIAGNOSTIC,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.182721,-0.114831,0.114831,213811,LOW_REDUNDANCY
downside_vol_20h,qvol_ma_ratio_5_20,realized_skew_kurtosis,quote_volume_liquidity,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,-0.021108,-0.100944,0.100944,214061,LOW_REDUNDANCY
downside_vol_20h,ma_gap_20_80,realized_skew_kurtosis,trend_ma,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.127321,-0.044469,0.044469,211111,LOW_REDUNDANCY
vol_of_vol_20h,mom_accel_20h,realized_skew_kurtosis,momentum,False,TIER_1_STABLE_DIAGNOSTIC,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.022828,-0.017368,0.017368,213811,LOW_REDUNDANCY
vol_of_vol_20h,qvol_ma_ratio_5_20,realized_skew_kurtosis,quote_volume_liquidity,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.010587,-0.08823,0.08823,213861,LOW_REDUNDANCY
vol_of_vol_20h,ma_gap_20_80,realized_skew_kurtosis,trend_ma,False,TIER_1_STABLE_DIAGNOSTIC,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.167849,0.065256,0.065256,211111,LOW_REDUNDANCY
mom_accel_20h,qvol_ma_ratio_5_20,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.093761,0.043513,0.043513,213811,LOW_REDUNDANCY
mom_accel_20h,ma_gap_20_80,momentum,trend_ma,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,-0.239933,-0.195773,0.195773,211111,LOW_REDUNDANCY
qvol_ma_ratio_5_20,ma_gap_20_80,quote_volume_liquidity,trend_ma,False,TIER_4_UNSTABLE_OR_SIGN_FLIP,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.02021,0.008784,0.008784,211111,LOW_REDUNDANCY
