factor_id,factor_family,source_phase,factor_type,diagnostic_tier,recommended_research_use,redundancy_status,review_flags,phase8_queue_category,evidence_summary,key_risks,suggested_human_review_focus,human_decision_placeholder
range_4h,range_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
range_24h,range_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,REDUNDANCY_REVIEW,REDUNDANT_GROUP_MEMBER,REDUNDANT,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=REDUNDANCY_REVIEW,review_flags=REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER,Assess redundancy group role and uniqueness; Address flags: REDUNDANT,PENDING_HUMAN_REVIEW
price_pos_24h,price_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=REPRESENTATIVE_CANDIDATE,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
price_pos_72h,price_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_3_WEAK_DIAGNOSTIC,REDUNDANCY_REVIEW,REDUNDANT_GROUP_MEMBER,WEAK_SIGNAL; REDUNDANT,WEAK_OR_LOW_PRIORITY,diagnostic_tier=TIER_3_WEAK_DIAGNOSTIC; research_use=REDUNDANCY_REVIEW,review_flags=WEAK_SIGNAL; REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER; weak_diagnostic_signal,Confirm low priority or find improvement path; Address flags: WEAK_SIGNAL; REDUNDANT,PENDING_HUMAN_REVIEW
vol_zscore_20h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_4_UNSTABLE_OR_SIGN_FLIP; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER; weak_diagnostic_signal,Assess redundancy group role and uniqueness; Address flags: DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,PENDING_HUMAN_REVIEW
vol_zscore_48h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_4_UNSTABLE_OR_SIGN_FLIP; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER; weak_diagnostic_signal,Assess redundancy group role and uniqueness; Address flags: DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,PENDING_HUMAN_REVIEW
qvol_zscore_20h,quote_volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_4_UNSTABLE_OR_SIGN_FLIP; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER; weak_diagnostic_signal,Assess redundancy group role and uniqueness; Address flags: DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,PENDING_HUMAN_REVIEW
qvol_zscore_48h,quote_volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_4_UNSTABLE_OR_SIGN_FLIP; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; redundancy=REPRESENTATIVE_CANDIDATE; weak_diagnostic_signal,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE,PENDING_HUMAN_REVIEW
ma_gap_5_20,trend_ma,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
ma_gap_10_40,trend_ma,PHASE_7B_BATCH1,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_4_UNSTABLE_OR_SIGN_FLIP; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER; weak_diagnostic_signal,Assess redundancy group role and uniqueness; Address flags: DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,PENDING_HUMAN_REVIEW
breakout_dist_20h,breakout,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER,Assess redundancy group role and uniqueness; Address flags: DIRECTION_MISMATCH; REDUNDANT,PENDING_HUMAN_REVIEW
breakout_dist_48h,breakout,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=REPRESENTATIVE_CANDIDATE,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
candle_body,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=MONITOR_TURNOVER_RISK,review_flags=HIGH_TURNOVER; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: HIGH_TURNOVER,PENDING_HUMAN_REVIEW
candle_wick_upper,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; HIGH_TURNOVER; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH; HIGH_TURNOVER,PENDING_HUMAN_REVIEW
candle_wick_lower,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL,WEAK_OR_LOW_PRIORITY,diagnostic_tier=TIER_3_WEAK_DIAGNOSTIC; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL; redundancy=NOT_IN_REDUNDANCY_GROUP; weak_diagnostic_signal,Confirm low priority or find improvement path; Address flags: DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL,PENDING_HUMAN_REVIEW
xs_rank_ret_1h,cross_sectional_normalized,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=MONITOR_TURNOVER_RISK,review_flags=HIGH_TURNOVER; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: HIGH_TURNOVER,PENDING_HUMAN_REVIEW
xs_rank_vol,cross_sectional_normalized,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
ema_12_26_gap,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=REDUNDANT_GROUP_MEMBER,Assess redundancy group role and uniqueness; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
rsi_28h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=REPRESENTATIVE_CANDIDATE,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
rsi_7h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=REPRESENTATIVE_CANDIDATE,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
williams_r_14h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,HIGH_TURNOVER; DIRECTION_MISMATCH,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=HIGH_TURNOVER; DIRECTION_MISMATCH; redundancy=REDUNDANT_GROUP_MEMBER,Assess redundancy group role and uniqueness; Address flags: HIGH_TURNOVER; DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
downside_vol_20h,realized_skew_kurtosis,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
vol_of_vol_20h,realized_skew_kurtosis,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
mom_accel_20h,momentum,PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER; DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=HIGH_TURNOVER; DIRECTION_MISMATCH; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: HIGH_TURNOVER; DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
qvol_ma_ratio_5_20,quote_volume_liquidity,PHASE_7I_BATCH2,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,NOT_IN_REDUNDANCY_GROUP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,WEAK_OR_LOW_PRIORITY,diagnostic_tier=TIER_4_UNSTABLE_OR_SIGN_FLIP; research_use=LOW_PRIORITY_RESEARCH,review_flags=MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE; redundancy=NOT_IN_REDUNDANCY_GROUP; weak_diagnostic_signal,Confirm low priority or find improvement path; Address flags: MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,PENDING_HUMAN_REVIEW
ma_gap_20_80,trend_ma,PHASE_7I_BATCH2,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,NOT_IN_REDUNDANCY_GROUP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,WEAK_OR_LOW_PRIORITY,diagnostic_tier=TIER_4_UNSTABLE_OR_SIGN_FLIP; research_use=LOW_PRIORITY_RESEARCH,review_flags=MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE; redundancy=NOT_IN_REDUNDANCY_GROUP; weak_diagnostic_signal,Confirm low priority or find improvement path; Address flags: MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,PENDING_HUMAN_REVIEW
taker_buy_ratio_20h,taker_imbalance,7M,crypto_native,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA; max_static_corr=0.149541; max_dynamic_corr=0.090846; diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency,review_flags=EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT; redundancy=NO_REDUNDANCY,Investigate direction mismatch before considering; Address flags: EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT,PENDING_HUMAN_REVIEW
taker_buy_zscore_20h,taker_imbalance,7M,crypto_native,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA; max_static_corr=0.698276; max_dynamic_corr=0.694099; diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch,review_flags=EXPECTED_DIRECTION_MISMATCH; redundancy=NO_REDUNDANCY,Assess redundancy group role and uniqueness; Address flags: EXPECTED_DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
taker_buy_delta_5h,taker_imbalance,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH,WEAK_OR_LOW_PRIORITY,diagnostic_tier=TIER_3_WEAK_DIAGNOSTIC; research_use=WEAK_DIAGNOSTIC_ONLY; max_static_corr=0.698276; max_dynamic_corr=0.694099; diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch,review_flags=EXPECTED_DIRECTION_MISMATCH; redundancy=NO_REDUNDANCY; weak_diagnostic_signal,Confirm low priority or find improvement path; Address flags: EXPECTED_DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
funding_rate_level_20h,funding_rate,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;MULTI_LABEL_INCONSISTENT,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_3_WEAK_DIAGNOSTIC; research_use=REVIEW_DIRECTION_OR_FORMULA; max_static_corr=0.145478; max_dynamic_corr=0.090798; diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency,review_flags=EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;MULTI_LABEL_INCONSISTENT; redundancy=NO_REDUNDANCY; weak_diagnostic_signal,Investigate direction mismatch before considering; Address flags: EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;MULTI_LABEL_INCONSISTENT,PENDING_HUMAN_REVIEW
funding_rate_zscore_80h,funding_rate,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,WEAK_OR_LOW_PRIORITY,diagnostic_tier=TIER_3_WEAK_DIAGNOSTIC; research_use=WEAK_DIAGNOSTIC_ONLY; max_static_corr=0.69378; max_dynamic_corr=0.667715; diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency,review_flags=EXPECTED_DIRECTION_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT; redundancy=NO_REDUNDANCY; weak_diagnostic_signal,Confirm low priority or find improvement path; Address flags: EXPECTED_DIRECTION_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,PENDING_HUMAN_REVIEW
