symbol,quote_volume,notional_volume,participation_capacity_0_5pct,participation_capacity_1pct,participation_capacity_5pct,liquidity_warning,zero_volume_flag,outlier_volume_flag
LINKUSDT,8119095.958905,8119095.958905,40595.479794525,81190.95958905,405954.79794525006,OK,False,False
TREEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BSBUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
WIFUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
COWUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BBUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
DOGSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LTCUSDT,5718149.229885001,5718149.229885001,28590.746149425006,57181.49229885001,285907.46149425005,OK,False,False
BLESSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
APTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SIGNUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
GOATUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TIAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
INITUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
KGENUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
EVAAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
DOTUSDT,4194016.9442999996,4194016.9442999996,20970.0847215,41940.169443,209700.847215,OK,False,False
1000FLOKIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
CRVUSDT,3544356.9551999997,3544356.9551999997,17721.784776,35443.569552,177217.84776,OK,False,False
BUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SOMIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BERAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PEOPLEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PENDLEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MOODENGUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
1000SATSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AEVOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SPXUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
4USDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
VVVUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PNUTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ENAUSDT,8379222.2644,8379222.2644,41896.111322,83792.222644,418961.11322,OK,False,False
LUNA2USDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
NEIROUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SKLUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
USUALUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
FARTCOINUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TRADOORUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
RVNUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
VIRTUALUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
RAVEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ENSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SIRENUSDT,165319.7858,165319.7858,826.5989290000001,1653.1978580000002,8265.989290000001,OK,False,False
CKBUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PHAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
CGPTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LITUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ACTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HIVEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
FFUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LAYERUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ARUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
EDENUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ARBUSDT,3129498.429645,3129498.429645,15647.492148225001,31294.984296450002,156474.92148225,OK,False,False
ZEREBROUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HUMAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
UAIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ICPUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HYPERUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PUMPUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BROCCOLI714USDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PIXELUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
JTOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
POWERUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LINEAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
EDUUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
OPUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
FIDAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ROBOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ZROUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PYTHUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SUNUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
JUPUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
FOLKSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LPTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
NILUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ORDIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
IOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ACHUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AZTECUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HEMIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
NIGHTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SAGAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
CUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MUBARAKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BARDUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
STABLEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LYNUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BASUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
KITEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
WUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HAEDALUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SEIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HOMEUSDT,170321.236576,170321.236576,851.60618288,1703.21236576,8516.0618288,OK,False,False
MELANIAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ZKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
1000LUNCUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ETHFIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ENJUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BRUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
CATIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BASEDUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
XNYUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
XPLUSDT,2715798.3402,2715798.3402,13578.991701,27157.983402,135789.91701,OK,False,False
SOPHUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
XMRUSDT,879806.97386,879806.97386,4399.0348693000005,8798.069738600001,43990.34869300001,OK,False,False
BANANAS31USDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MMTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ZBTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LABUSDT,430561.67007,430561.67007,2152.80835035,4305.6167007,21528.083503500002,OK,False,False
ENSOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ESPUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BILLUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
EDGEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
FHEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PIEVERSEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ALLOUSDT,249670.01338999998,249670.01338999998,1248.35006695,2496.7001339,12483.5006695,OK,False,False
ARIAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SWARMSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ATUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AIXBTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ARCUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
UBUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TSTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TRUMPUSDT,5933998.13838,5933998.13838,29669.990691900002,59339.981383800005,296699.90691900003,OK,False,False
NOTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SPACEUSDT,297038.741636,297038.741636,1485.19370818,2970.38741636,14851.9370818,OK,False,False
SKYAIUSDT,156986.46412,156986.46412,784.9323205999999,1569.8646411999998,7849.323206,OK,False,False
BEATUSDT,1549656.6778,1549656.6778,7748.283389,15496.566778,77482.83389,OK,False,False
COAIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ORCAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MYXUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
CLOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HMSTRUSDT,233681.0053405,233681.0053405,1168.4050267025,2336.810053405,11684.050267025,OK,False,False
PLAYUSDT,212514.56526,212514.56526,1062.5728263,2125.1456526,10625.728263,OK,False,False
HUSDT,959246.86214,959246.86214,4796.2343107,9592.4686214,47962.343107,OK,False,False
