factor_id,factor_name,factor_family,formula_description,required_columns,lookback_window,expected_direction,direction_policy,implementation_complexity,source,priority_batch,status,notes
qvol_zscore_48h,Quote Volume Z-Score 48h,quote_volume_liquidity,(qv-SMA48)/STD48,quote_volume,48,positive,theory_prior,low,theory,7B,selected_for_7B,Quote volume anomaly longer
qvol_ma_ratio_5_20,QVol MA Ratio 5/20,quote_volume_liquidity,"SMA(qv, 5)/SMA(qv, 20)",quote_volume,20,positive,theory_prior,low,theory,7B,candidate,Quote volume momentum
ma_gap_5_20,MA Gap 5/20,trend_ma,(SMA5-SMA20)/SMA20,close,20,positive,theory_prior,low,theory,7B,selected_for_7B,Short trend
ma_gap_10_40,MA Gap 10/40,trend_ma,(SMA10-SMA40)/SMA40,close,40,positive,theory_prior,low,theory,7B,selected_for_7B,Medium trend
ma_gap_20_80,MA Gap 20/80,trend_ma,(SMA20-SMA80)/SMA80,close,80,positive,theory_prior,low,theory,7B,candidate,Long trend
breakout_dist_20h,Breakout Distance 20h,breakout,(close-HH20)/(HH20-LL20+eps),high;low;close,20,positive,theory_prior,low,theory,7B,selected_for_7B,Distance from 20h high
breakout_dist_48h,Breakout Distance 48h,breakout,(close-HH48)/(HH48-LL48+eps),high;low;close,48,positive,theory_prior,low,theory,7B,selected_for_7B,Distance from 48h high
candle_body,Candle Body Ratio,intraday_candle,(close-open)/(high-low+eps),open;high;low;close,1,conditional,structural_prior,low,theory,7B,selected_for_7B,Body vs range
candle_wick_upper,Upper Wick Ratio,intraday_candle,"(high-max(open,close))/(high-low+eps)",open;high;low;close,1,negative,structural_prior,low,theory,7B,selected_for_7B,Selling pressure
candle_wick_lower,Lower Wick Ratio,intraday_candle,"(min(open,close)-low)/(high-low+eps)",open;high;low;close,1,positive,structural_prior,low,theory,7B,selected_for_7B,Buying pressure
xs_rank_ret_1h,Cross-Sectional Return Rank,cross_sectional_normalized,rank(ret_1h) by timestamp,close,1,conditional,structural_prior,low,theory,7B,selected_for_7B,Cross-sectional return ranking
xs_rank_vol,Cross-Sectional Vol Rank,cross_sectional_normalized,rank(vol_20h) by timestamp,close,20,conditional,structural_prior,low,theory,7B,selected_for_7B,Cross-sectional vol ranking
xs_rank_range,Cross-Sectional Range Rank,cross_sectional_normalized,rank(range_24h) by timestamp,high;low;close,24,conditional,structural_prior,low,theory,7B,candidate,Cross-sectional range ranking
ema_12_26_gap,EMA 12/26 Gap,technical_indicators,(EMA12-EMA26)/EMA26,close,26,positive,theory_prior,low,theory,7C,candidate,MACD-like trend
rsi_7h,7h RSI,technical_indicators,"RSI(close, 7)",close,7,negative,theory_prior,low,theory,7C,candidate,Short RSI
rsi_28h,28h RSI,technical_indicators,"RSI(close, 28)",close,28,negative,theory_prior,low,theory,7C,candidate,Long RSI
stoch_k_14h,Stochastic %K 14h,technical_indicators,(close-LL14)/(HH14-LL14+eps),high;low;close,14,conditional,structural_prior,low,theory,7C,candidate,Stochastic oscillator
williams_r_14h,Williams %R 14h,technical_indicators,(HH14-close)/(HH14-LL14+eps),high;low;close,14,negative,theory_prior,low,theory,7C,candidate,Williams %R
cci_20h,CCI 20h,technical_indicators,(TP-SMA20)/(0.015*MAD20),high;low;close,20,conditional,structural_prior,medium,theory,7C,candidate,Commodity Channel Index
adx_14h,ADX 14h,technical_indicators,"SMA(DX, 14)",high;low;close,28,conditional,structural_prior,medium,theory,7C,candidate,Trend strength
wq101_alpha01,Alpha#01 Sign-Volume,wq101_expansion,sign(close-open)*volume,open;close;volume,1,conditional,conditional_by_design,low,worldquant,7C,candidate,WQ Alpha#01
wq101_alpha02,Alpha#02 Correlation,wq101_expansion,"corr(open, volume, 10)",open;volume,10,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#02
wq101_alpha03,Alpha#03 Open Correlation,wq101_expansion,"-corr(open, volume, 10)*delta(open, 1)",open;volume,10,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#03
wq101_alpha06,Alpha#06 Correlation Sign,wq101_expansion,"-corr(open, volume, 10)*sign(delta(open, 1))",open;volume,10,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#06
wq101_alpha08,Alpha#08 Open Reversion,wq101_expansion,"-rank(delta(open, 1)*(-1*(close/open-1)))",open;close,1,positive,theory_prior,low,worldquant,7C,candidate,WQ Alpha#08
wq101_alpha09,Alpha#09 Conditional,wq101_expansion,"sign(delta(close, 1))*(-1*abs(close/open-1))",open;close,1,conditional,conditional_by_design,low,worldquant,7C,candidate,WQ Alpha#09
wq101_alpha15,Alpha#15 High Volume Correlation,wq101_expansion,"-corr(high, rank(volume), 3)*rank(delta(close, 3))",high;close;volume,3,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#15
wq101_alpha18,Alpha#18 Close Delay,wq101_expansion,"-std(abs(close/open-1), 5)+close-delay(close, 5)",open;close,5,conditional,conditional_by_design,low,worldquant,7C,candidate,WQ Alpha#18
wq101_alpha21,Alpha#21 Volume Mean Reversion,wq101_expansion,"mean(close, 8)+std(close, 8)-delay(close, 8)",close,8,conditional,conditional_by_design,low,worldquant,7C,candidate,WQ Alpha#21
wq101_alpha23,Alpha#23 SMA Crossover,wq101_expansion,"sign(SMA(close, 20)-close)*delta(SMA(close, 20), 2)",close,22,positive,theory_prior,low,worldquant,7C,candidate,WQ Alpha#23
wq101_alpha24,Alpha#24 Conditional Delta,wq101_expansion,"sign(delta(close, 5))*(-1*abs(close/delay(close, 5)-1))",close,5,conditional,conditional_by_design,low,worldquant,7C,candidate,WQ Alpha#24
wq101_alpha26,Alpha#26 Volume TS-Max,wq101_expansion,"-ts_max(correlation(ts_rank(volume, 5), ts_rank(high, 5), 5), 3)",high;volume,5,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#26
wq101_alpha28,Alpha#28 Volume Correlation,wq101_expansion,"scale(correlation(adv20, low, 5))",low;volume,5,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#28
wq101_alpha33,Alpha#33 Open Rank,wq101_expansion,rank(-1+open/close),open;close,1,positive,theory_prior,low,worldquant,7C,candidate,WQ Alpha#33
wq101_alpha34,Alpha#34 Mean Reversion,wq101_expansion,"rank(((1-rank(std(close, 2)/std(close, 5)))+(-1+rank(delta(close, 1)))))",close,5,positive,theory_prior,low,worldquant,7C,candidate,WQ Alpha#34
wq101_alpha41,Alpha#41 Volume-Price,wq101_expansion,((high*low)^0.5)-close,high;low;close,1,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#41
wq101_alpha44,Alpha#44 High-Volume Correlation,wq101_expansion,"-corr(high, rank(volume), 5)",high;volume,5,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#44
wq101_alpha45,Alpha#45 Delay Correlation,wq101_expansion,"-corr(rank(close), rank(volume), 5)*rank(delta(close, 5))",close;volume,5,negative,theory_prior,low,worldquant,7C,candidate,WQ Alpha#45
a158_kbdr,Alpha158 KBDR,alpha158_expansion,(close-LL24)/(HH24-LL24+eps) binned,high;low;close,24,conditional,structural_prior,low,alibaba,7C,candidate,Alibaba Alpha158 range position
a158_kcrd,Alpha158 KCRD,alpha158_expansion,(close-open)/(high-low+eps) rolling,open;high;low;close,24,conditional,structural_prior,low,alibaba,7C,candidate,Alibaba Alpha158 candle ratio daily
a158_krs,Alpha158 KRS,alpha158_expansion,rank(close-SMA20)/rank(ATR20),close;high;low,20,conditional,structural_prior,low,alibaba,7C,candidate,Alibaba Alpha158 relative strength
a158_kurt,Alpha158 KURT,alpha158_expansion,"kurtosis(ret_1h, 20)",close,20,conditional,structural_prior,low,alibaba,7C,candidate,Alibaba Alpha158 kurtosis
a158_ksew,Alpha158 KSEW,alpha158_expansion,"skew(ret_1h, 20)",close,20,conditional,structural_prior,low,alibaba,7C,candidate,Alibaba Alpha158 skewness
realized_skew_24h,Realized Skew 24h,realized_skew_kurtosis,"skew(ret_1h, 24)",close,24,conditional,structural_prior,low,theory,7C,candidate,Return skewness
realized_kurt_24h,Realized Kurtosis 24h,realized_skew_kurtosis,"kurt(ret_1h, 24)",close,24,conditional,structural_prior,low,theory,7C,candidate,Return kurtosis
realized_skew_72h,Realized Skew 72h,realized_skew_kurtosis,"skew(ret_1h, 72)",close,72,conditional,structural_prior,low,theory,7C,candidate,Return skewness longer
realized_kurt_72h,Realized Kurtosis 72h,realized_skew_kurtosis,"kurt(ret_1h, 72)",close,72,conditional,structural_prior,low,theory,7C,candidate,Return kurtosis longer
downside_vol_20h,Downside Vol 20h,realized_skew_kurtosis,"std(neg_ret, 20)",close,20,negative,theory_prior,low,theory,7C,candidate,Downside risk measure
upside_vol_20h,Upside Vol 20h,realized_skew_kurtosis,"std(pos_ret, 20)",close,20,conditional,structural_prior,low,theory,7C,candidate,Upside vol measure
vol_of_vol_20h,Vol of Vol 20h,realized_skew_kurtosis,"std(rolling_std_5h, 20)",close,20,negative,theory_prior,low,theory,7D,candidate,Volatility of volatility
trend_strength_20h,Trend Strength 20h,trend_ma,abs(SMA5-SMA20)/SMA20,close,20,conditional,structural_prior,low,theory,7D,candidate,Absolute trend magnitude
ema_gap_12_26,EMA Gap 12/26,trend_ma,(EMA12-EMA26)/close,close,26,positive,theory_prior,low,theory,7D,candidate,Normalized EMA gap
range_breakout_20h,Range Breakout 20h,breakout,close/HH20-1,high;close,20,positive,theory_prior,low,theory,7D,candidate,Breakout above 20h high
range_breakdown_20h,Range Breakdown 20h,breakout,close/LL20-1,low;close,20,negative,theory_prior,low,theory,7D,candidate,Breakdown below 20h low
consolidation_20h,Consolidation 20h,breakout,1-range_20h/range_40h,high;low;close,40,conditional,structural_prior,low,theory,7D,candidate,Range contraction
body_ratio_ma_20h,Body Ratio MA 20h,intraday_candle,"SMA(candle_body, 20)",open;high;low;close,20,conditional,structural_prior,low,theory,7D,candidate,Average candle body
wick_ratio_ma_20h,Wick Ratio MA 20h,intraday_candle,"SMA(candle_wick_upper, 20)",open;high;low;close,20,conditional,structural_prior,low,theory,7D,candidate,Average upper wick
gap_up_ratio,Gap Up Ratio,intraday_candle,"open/delay(close, 1)-1",open;close,1,conditional,structural_prior,low,theory,7D,candidate,Overnight gap
xs_rank_mom_20h,Cross-Sectional Mom Rank,cross_sectional_normalized,rank(mom_20h) by timestamp,close,20,conditional,structural_prior,low,theory,7D,candidate,Cross-sectional momentum rank
xs_rank_bb,Cross-Sectional BB Rank,cross_sectional_normalized,rank(bb_zscore_20h) by timestamp,close,20,conditional,structural_prior,low,theory,7D,candidate,Cross-sectional BB rank
xs_rank_rsi,Cross-Sectional RSI Rank,cross_sectional_normalized,rank(rsi_14h) by timestamp,close,14,conditional,structural_prior,low,theory,7D,candidate,Cross-sectional RSI rank
price_pos_12h,Price Position 12h,price_position,(close-LL12)/(HH12-LL12+eps),high;low;close,12,conditional,structural_prior,low,theory,7B,candidate,Where in 12h range
breakout_dist_72h,Breakout Distance 72h,breakout,(close-HH72)/(HH72-LL72+eps),high;low;close,72,positive,theory_prior,low,theory,7C,candidate,Distance from 72h high
breakout_high_20h,Breakout Above High 20h,breakout,close/HH20-1,high;close,20,positive,theory_prior,low,theory,7C,candidate,Breakout above 20h high
