factor_id,factor_family,diagnostic_tier,recommended_research_use,phase8_queue_category,pm_decision,approved_status,decision_rationale,decision_scope
candle_wick_upper,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
candle_wick_lower,intraday_candle,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
xs_rank_ret_1h,cross_sectional_normalized,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
xs_rank_vol,cross_sectional_normalized,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
ema_12_26_gap,technical_indicators,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
rsi_28h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
rsi_7h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
williams_r_14h,technical_indicators,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
downside_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
vol_of_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
mom_accel_20h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
qvol_ma_ratio_5_20,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
ma_gap_20_80,trend_ma,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
taker_buy_ratio_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
taker_buy_zscore_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
taker_buy_delta_5h,taker_imbalance,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
funding_rate_level_20h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
funding_rate_zscore_80h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
funding_rate_change_24h,funding_rate,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
