factor_id,factor_family,diagnostic_tier,recommended_research_use,redundancy_status,review_flags,phase8_queue_category,phase8_notes
ma_gap_10_40,trend_ma,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
breakout_dist_20h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
breakout_dist_48h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
candle_body,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
candle_wick_upper,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
candle_wick_lower,intraday_candle,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
xs_rank_ret_1h,cross_sectional_normalized,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
xs_rank_vol,cross_sectional_normalized,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
ema_12_26_gap,technical_indicators,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
rsi_28h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
rsi_7h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
williams_r_14h,technical_indicators,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,HIGH_TURNOVER; DIRECTION_MISMATCH,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
downside_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
vol_of_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
mom_accel_20h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER; DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
qvol_ma_ratio_5_20,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,NOT_IN_REDUNDANCY_GROUP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
ma_gap_20_80,trend_ma,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,NOT_IN_REDUNDANCY_GROUP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
taker_buy_ratio_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
taker_buy_zscore_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
taker_buy_delta_5h,taker_imbalance,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
funding_rate_level_20h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;MULTI_LABEL_INCONSISTENT,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
funding_rate_zscore_80h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
funding_rate_change_24h,funding_rate,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
