factor_id,factor_family,source_phase,factor_type,diagnostic_tier,expected_direction,recommended_research_use,redundancy_status,review_flags,curation_notes
breakout_dist_48h,breakout,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,
candle_body,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,conditional,MONITOR_TURNOVER_RISK,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,
candle_wick_upper,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,negative,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER,
candle_wick_lower,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,TIER_3_WEAK_DIAGNOSTIC,positive,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL,
xs_rank_ret_1h,cross_sectional_normalized,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,conditional,MONITOR_TURNOVER_RISK,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER,
xs_rank_vol,cross_sectional_normalized,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,conditional,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,
ema_12_26_gap,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH,
rsi_28h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,negative,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,
rsi_7h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,negative,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,
williams_r_14h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,negative,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,HIGH_TURNOVER; DIRECTION_MISMATCH,
downside_vol_20h,realized_skew_kurtosis,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,negative,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,
vol_of_vol_20h,realized_skew_kurtosis,PHASE_7I_BATCH2,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,negative,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,
mom_accel_20h,momentum,PHASE_7I_BATCH2,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,HIGH_TURNOVER; DIRECTION_MISMATCH,
qvol_ma_ratio_5_20,quote_volume_liquidity,PHASE_7I_BATCH2,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,positive,LOW_PRIORITY_RESEARCH,NOT_IN_REDUNDANCY_GROUP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,
ma_gap_20_80,trend_ma,PHASE_7I_BATCH2,ohlcv_derived,TIER_4_UNSTABLE_OR_SIGN_FLIP,positive,LOW_PRIORITY_RESEARCH,NOT_IN_REDUNDANCY_GROUP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,
taker_buy_ratio_20h,taker_imbalance,7M,crypto_native,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
taker_buy_zscore_20h,taker_imbalance,7M,crypto_native,TIER_2_PROMISING_BUT_NEEDS_REVIEW,positive,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch
taker_buy_delta_5h,taker_imbalance,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC,positive,WEAK_DIAGNOSTIC_ONLY,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch
funding_rate_level_20h,funding_rate,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC,negative,REVIEW_DIRECTION_OR_FORMULA,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;MULTI_LABEL_INCONSISTENT,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
funding_rate_zscore_80h,funding_rate,7M,crypto_native,TIER_3_WEAK_DIAGNOSTIC,negative,WEAK_DIAGNOSTIC_ONLY,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
funding_rate_change_24h,funding_rate,7M,crypto_native,TIER_4_UNSTABLE_OR_SIGN_FLIP,negative,LOW_PRIORITY_RESEARCH,NO_REDUNDANCY,EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
