factor_id,factor_family,source_phase,factor_type,expected_direction,diagnostic_tier,review_flags,redundancy_status,max_static_corr,max_dynamic_corr,medium_redundancy_pairs,recommended_research_use,curation_notes
vol_zscore_20h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
vol_zscore_48h,volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
qvol_zscore_20h,quote_volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
qvol_zscore_48h,quote_volume_liquidity,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE,REPRESENTATIVE_CANDIDATE,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
ma_gap_5_20,trend_ma,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,NOT_IN_REDUNDANCY_GROUP,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
ma_gap_10_40,trend_ma,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,DIRECTION_MISMATCH; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
breakout_dist_20h,breakout,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH; REDUNDANT,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
breakout_dist_48h,breakout,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,REPRESENTATIVE_CANDIDATE,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
candle_body,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_2_PROMISING_BUT_NEEDS_REVIEW,HIGH_TURNOVER,NOT_IN_REDUNDANCY_GROUP,,,NONE,MONITOR_TURNOVER_RISK,
candle_wick_upper,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,negative,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH; HIGH_TURNOVER,NOT_IN_REDUNDANCY_GROUP,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
candle_wick_lower,intraday_candle,PHASE_7B_BATCH1,ohlcv_derived,positive,TIER_3_WEAK_DIAGNOSTIC,DIRECTION_MISMATCH; HIGH_TURNOVER; WEAK_SIGNAL,NOT_IN_REDUNDANCY_GROUP,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
xs_rank_ret_1h,cross_sectional_normalized,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_2_PROMISING_BUT_NEEDS_REVIEW,HIGH_TURNOVER,NOT_IN_REDUNDANCY_GROUP,,,NONE,MONITOR_TURNOVER_RISK,
xs_rank_vol,cross_sectional_normalized,PHASE_7B_BATCH1,ohlcv_derived,conditional,TIER_1_STABLE_DIAGNOSTIC,NONE,NOT_IN_REDUNDANCY_GROUP,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,
ema_12_26_gap,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,DIRECTION_MISMATCH,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
rsi_28h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,negative,TIER_1_STABLE_DIAGNOSTIC,NONE,REPRESENTATIVE_CANDIDATE,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,
rsi_7h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,negative,TIER_1_STABLE_DIAGNOSTIC,NONE,REPRESENTATIVE_CANDIDATE,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,
williams_r_14h,technical_indicators,PHASE_7I_BATCH2,ohlcv_derived,negative,TIER_2_PROMISING_BUT_NEEDS_REVIEW,HIGH_TURNOVER; DIRECTION_MISMATCH,REDUNDANT_GROUP_MEMBER,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
downside_vol_20h,realized_skew_kurtosis,PHASE_7I_BATCH2,ohlcv_derived,negative,TIER_1_STABLE_DIAGNOSTIC,NONE,NOT_IN_REDUNDANCY_GROUP,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,
vol_of_vol_20h,realized_skew_kurtosis,PHASE_7I_BATCH2,ohlcv_derived,negative,TIER_1_STABLE_DIAGNOSTIC,NONE,NOT_IN_REDUNDANCY_GROUP,,,NONE,CORE_DIAGNOSTIC_CANDIDATE,
mom_accel_20h,momentum,PHASE_7I_BATCH2,ohlcv_derived,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,HIGH_TURNOVER; DIRECTION_MISMATCH,NOT_IN_REDUNDANCY_GROUP,,,NONE,REVIEW_DIRECTION_OR_FORMULA,
qvol_ma_ratio_5_20,quote_volume_liquidity,PHASE_7I_BATCH2,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,NOT_IN_REDUNDANCY_GROUP,,,NONE,LOW_PRIORITY_RESEARCH,
ma_gap_20_80,trend_ma,PHASE_7I_BATCH2,ohlcv_derived,positive,TIER_4_UNSTABLE_OR_SIGN_FLIP,MIXED_DIRECTION; SIGN_FLIP_1H; MULTI_HORIZON_UNSTABLE,NOT_IN_REDUNDANCY_GROUP,,,NONE,LOW_PRIORITY_RESEARCH,
taker_buy_ratio_20h,taker_imbalance,7M,crypto_native,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,EXPECTED_DIRECTION_MISMATCH;MULTI_LABEL_INCONSISTENT,NO_REDUNDANCY,0.149541,0.090846,NONE,REVIEW_DIRECTION_OR_FORMULA,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
taker_buy_zscore_20h,taker_imbalance,7M,crypto_native,positive,TIER_2_PROMISING_BUT_NEEDS_REVIEW,EXPECTED_DIRECTION_MISMATCH,NO_REDUNDANCY,0.698276,0.694099,taker_buy_delta_5h,REVIEW_DIRECTION_OR_FORMULA,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch
taker_buy_delta_5h,taker_imbalance,7M,crypto_native,positive,TIER_3_WEAK_DIAGNOSTIC,EXPECTED_DIRECTION_MISMATCH,NO_REDUNDANCY,0.698276,0.694099,taker_buy_zscore_20h,WEAK_DIAGNOSTIC_ONLY,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch
funding_rate_level_20h,funding_rate,7M,crypto_native,negative,TIER_3_WEAK_DIAGNOSTIC,EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;MULTI_LABEL_INCONSISTENT,NO_REDUNDANCY,0.145478,0.090798,NONE,REVIEW_DIRECTION_OR_FORMULA,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
funding_rate_zscore_80h,funding_rate,7M,crypto_native,negative,TIER_3_WEAK_DIAGNOSTIC,EXPECTED_DIRECTION_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,NO_REDUNDANCY,0.69378,0.667715,funding_rate_change_24h,WEAK_DIAGNOSTIC_ONLY,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
funding_rate_change_24h,funding_rate,7M,crypto_native,negative,TIER_4_UNSTABLE_OR_SIGN_FLIP,EXPECTED_DIRECTION_MISMATCH;STATIC_DYNAMIC_SIGN_MISMATCH;WEAK_SIGNAL;MULTI_LABEL_INCONSISTENT,NO_REDUNDANCY,0.69378,0.667715,funding_rate_zscore_80h,LOW_PRIORITY_RESEARCH,diagnostic-only; no alpha claim; RankIC sign vs expected direction mismatch; multi-label sign inconsistency
