factor_id,factor_family,candidate_formula_or_description,source,data_requirements,required_ops,current_ops_supported,implementation_complexity,leakage_risk,redundancy_risk_vs_batch1,turnover_risk,direction_clarity,expected_direction,batch2_decision,selection_score,decision_reason,proposed_next_status,notes
wq101_alpha15,wq101_expansion,"-corr(high, rank(volume), 3)*rank(delta(close, 3))",worldquant,high;close;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha18,wq101_expansion,"-std(abs(close/open-1), 5)+close-delay(close, 5)",worldquant,open;close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
wq101_alpha21,wq101_expansion,"mean(close, 8)+std(close, 8)-delay(close, 8)",worldquant,close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
wq101_alpha23,wq101_expansion,"sign(SMA(close, 20)-close)*delta(SMA(close, 20), 2)",worldquant,close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,positive,SELECT_NOW,11,"score=11, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=2 novelty=3 risk=3
wq101_alpha24,wq101_expansion,"sign(delta(close, 5))*(-1*abs(close/delay(close, 5)-1))",worldquant,close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
wq101_alpha26,wq101_expansion,"-ts_max(correlation(ts_rank(volume, 5), ts_rank(high, 5), 5), 3)",worldquant,high;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha28,wq101_expansion,"scale(correlation(adv20, low, 5))",worldquant,low;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha33,wq101_expansion,rank(-1+open/close),worldquant,open;close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,positive,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha34,wq101_expansion,"rank(((1-rank(std(close, 2)/std(close, 5)))+(-1+rank(delta(close, 1)))))",worldquant,close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,positive,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha41,wq101_expansion,((high*low)^0.5)-close,worldquant,high;low;close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha44,wq101_expansion,"-corr(high, rank(volume), 5)",worldquant,high;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha45,wq101_expansion,"-corr(rank(close), rank(volume), 5)*rank(delta(close, 5))",worldquant,close;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
a158_kbdr,alpha158_expansion,(close-LL24)/(HH24-LL24+eps) binned,alibaba,high;low;close,rolling_mean;rolling_std;ts_rank;ema,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
a158_kcrd,alpha158_expansion,(close-open)/(high-low+eps) rolling,alibaba,open;high;low;close,rolling_mean;rolling_std;ts_rank;ema,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
a158_krs,alpha158_expansion,rank(close-SMA20)/rank(ATR20),alibaba,close;high;low,rolling_mean;rolling_std;ts_rank;ema,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
a158_kurt,alpha158_expansion,"kurtosis(ret_1h, 20)",alibaba,close,rolling_mean;rolling_std;ts_rank;ema,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
a158_ksew,alpha158_expansion,"skew(ret_1h, 20)",alibaba,close,rolling_mean;rolling_std;ts_rank;ema,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
realized_skew_24h,realized_skew_kurtosis,"skew(ret_1h, 24)",theory,close,rolling_mean;rolling_std,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
realized_kurt_24h,realized_skew_kurtosis,"kurt(ret_1h, 24)",theory,close,rolling_mean;rolling_std,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
realized_skew_72h,realized_skew_kurtosis,"skew(ret_1h, 72)",theory,close,rolling_mean;rolling_std,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
realized_kurt_72h,realized_skew_kurtosis,"kurt(ret_1h, 72)",theory,close,rolling_mean;rolling_std,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
downside_vol_20h,realized_skew_kurtosis,"std(neg_ret, 20)",theory,close,rolling_std;rolling_mean,YES,low,LOW,LOW,LOW,CLEAR,negative,SELECT_NOW,12,"score=12, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=3 risk=3
upside_vol_20h,realized_skew_kurtosis,"std(pos_ret, 20)",theory,close,rolling_std;rolling_mean,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
vol_of_vol_20h,realized_skew_kurtosis,"std(rolling_std_5h, 20)",theory,close,rolling_std;rolling_mean,YES,low,LOW,LOW,LOW,CLEAR,negative,SELECT_NOW,12,"score=12, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=3 risk=3
trend_strength_20h,trend_ma,abs(SMA5-SMA20)/SMA20,theory,close,rolling_mean;rolling_std;ema,YES,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
ema_gap_12_26,trend_ma,(EMA12-EMA26)/close,theory,close,ema;rolling_mean,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
range_breakout_20h,breakout,close/HH20-1,theory,high;close,rolling_max;rolling_min,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
range_breakdown_20h,breakout,close/LL20-1,theory,low;close,rolling_max;rolling_min,YES,low,LOW,HIGH,LOW,CLEAR,negative,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
consolidation_20h,breakout,1-range_20h/range_40h,theory,high;low;close,rolling_max;rolling_min;rolling_mean,YES,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
body_ratio_ma_20h,intraday_candle,"SMA(candle_body, 20)",theory,open;high;low;close,rolling_mean,YES,low,MODERATE,HIGH,HIGH,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
wick_ratio_ma_20h,intraday_candle,"SMA(candle_wick_upper, 20)",theory,open;high;low;close,rolling_mean,YES,low,MODERATE,HIGH,HIGH,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
gap_up_ratio,intraday_candle,"open/delay(close, 1)-1",theory,open;close,rolling_mean,YES,low,MODERATE,HIGH,HIGH,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
xs_rank_mom_20h,cross_sectional_normalized,rank(mom_20h) by timestamp,theory,close,cross_sectional_rank,NO,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
xs_rank_bb,cross_sectional_normalized,rank(bb_zscore_20h) by timestamp,theory,close,cross_sectional_rank,NO,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
xs_rank_rsi,cross_sectional_normalized,rank(rsi_14h) by timestamp,theory,close,rolling_mean;delta,YES,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
price_pos_12h,price_position,(close-LL12)/(HH12-LL12+eps),theory,high;low;close,rolling_mean;rolling_std,YES,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
breakout_dist_72h,breakout,(close-HH72)/(HH72-LL72+eps),theory,high;low;close,rolling_max;rolling_min,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
breakout_high_20h,breakout,close/HH20-1,theory,high;close,rolling_max;rolling_min,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
