factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_roc_20h,alpha158_rolling_price,conditional,1h,0.02275797,0.02275797,0.15979522,0.15979522,0.14242,0.14242,0.14242,18.9937,0.5586,0.5586,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",close,21,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",-2.787e-05,8.184e-05,-0.00010971,-2.6574,0.4935,0.00023567,-1.09766732,0.00081639,-0.0032792,0.32,25,per_bar_mean_x_bars_per_year
q158_std_20h,alpha158_rolling_price,negative,72h,-0.08279118,0.08279118,0.18672917,0.18672917,-0.443376,0.443376,-0.443376,-59.0156,0.307,0.693,17717,186.1,3311205,0.001524,False,COMPUTED,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",close,20,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",-0.00081662,0.00376709,-0.00458371,-10.7434,0.5192,0.01654072,-0.57486415,0.05729874,-0.16299828,0.32,25,per_bar_mean_x_bars_per_year
q158_max_20h,alpha158_rolling_price,conditional,1h,-0.00516702,-0.00516702,0.18232131,0.18232131,-0.02834,-0.02834,-0.02834,-3.7797,0.4837,0.4837,17787,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",high|close,20,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",-6.3e-06,-9.4e-06,3.09e-06,0.0727,0.4974,0.00024988,0.06666951,0.00086562,-0.00109912,0.48,25,per_bar_mean_x_bars_per_year
q158_max_20h,alpha158_rolling_price,conditional,4h,-0.01559577,-0.01559577,0.18398357,0.18398357,-0.084767,-0.084767,-0.084767,-11.3046,0.4585,0.4585,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",high|close,20,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",3.812e-05,1.797e-05,2.015e-05,0.2383,0.4899,0.00083592,0.01962405,0.0028957,-0.00408938,0.44,25,per_bar_mean_x_bars_per_year
q158_max_20h,alpha158_rolling_price,conditional,24h,-0.04422862,-0.04422862,0.18390779,0.18390779,-0.240493,-0.240493,-0.240493,-32.0543,0.3841,0.3841,17765,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",high|close,20,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",0.00072397,-9.149e-05,0.00081546,3.817,0.4844,0.00503021,0.20810535,0.01742515,-0.01758278,0.52,25,per_bar_mean_x_bars_per_year
q158_max_20h,alpha158_rolling_price,conditional,72h,-0.06299196,-0.06299196,0.17502239,0.17502239,-0.359908,-0.359908,-0.359908,-47.9056,0.3336,0.3336,17717,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",high|close,20,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",0.00150111,0.00061724,0.00088387,2.2417,0.4562,0.01250891,0.08612858,0.04333215,-0.0425103,0.64,25,per_bar_mean_x_bars_per_year
q158_min_20h,alpha158_rolling_price,conditional,1h,0.04451269,0.04451269,0.15826251,0.15826251,0.281259,0.281259,0.281259,37.5109,0.6208,0.6208,17787,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",low|close,20,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",1.401e-05,6.809e-05,-5.408e-05,-1.3578,0.5094,0.00025892,-0.53985725,0.00089694,-0.00301407,0.36,25,per_bar_mean_x_bars_per_year
q158_min_20h,alpha158_rolling_price,conditional,4h,0.05472268,0.05472268,0.15807011,0.15807011,0.346192,0.346192,0.346192,46.1684,0.6449,0.6449,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",low|close,20,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",-6.024e-05,0.00030505,-0.0003653,-4.5756,0.5008,0.00104054,-0.85878259,0.00360455,-0.01389589,0.32,25,per_bar_mean_x_bars_per_year
q158_min_20h,alpha158_rolling_price,conditional,24h,0.06682424,0.06682424,0.16251709,0.16251709,0.411183,0.411183,0.411183,54.8047,0.6679,0.6679,17765,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",low|close,20,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",-0.00056973,0.0014818,-0.00205152,-9.8084,0.4988,0.00451485,-0.84319778,0.0156399,-0.06465542,0.32,25,per_bar_mean_x_bars_per_year
q158_min_20h,alpha158_rolling_price,conditional,72h,0.06744465,0.06744465,0.15946322,0.15946322,0.422948,0.422948,0.422948,56.2966,0.6827,0.6827,17717,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",low|close,20,"Alpha158 MIN20: Min(low,20) / close; rolling low normalized by current close",-0.00152636,0.00457296,-0.00609932,-15.0813,0.4873,0.01457825,-0.7857071,0.05050055,-0.17654731,0.36,25,per_bar_mean_x_bars_per_year
q158_cntd_20h,alpha158_rolling_direction,positive,1h,-0.00926641,-0.00926641,0.11428702,0.11428702,-0.08108,-0.08108,-0.08108,-10.8132,0.4698,0.4698,17786,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",close,21,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",2.274e-05,-4.42e-06,2.716e-05,0.896,0.503,0.00020412,0.3237921,0.00070709,-0.00066763,0.48,25,per_bar_mean_x_bars_per_year
q158_cntd_20h,alpha158_rolling_direction,positive,4h,-0.01119926,-0.01119926,0.1175653,0.1175653,-0.09526,-0.09526,-0.09526,-12.7035,0.4573,0.4573,17784,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",close,21,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",0.00017147,-9.057e-05,0.00026204,4.255,0.5082,0.00078649,0.66759647,0.00272447,-0.00149504,0.56,25,per_bar_mean_x_bars_per_year
q158_cntd_20h,alpha158_rolling_direction,positive,24h,-0.00335493,-0.00335493,0.12095516,0.12095516,-0.027737,-0.027737,-0.027737,-3.6968,0.4907,0.4907,17764,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",close,21,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",0.00082095,-0.00060157,0.00142253,8.9149,0.5238,0.00349766,0.6078154,0.01211626,-0.00577761,0.64,25,per_bar_mean_x_bars_per_year
q158_cntd_20h,alpha158_rolling_direction,positive,72h,-0.00021716,-0.00021716,0.11380654,0.11380654,-0.001908,-0.001908,-0.001908,-0.254,0.4986,0.4986,17716,186.1,3310939,0.001604,False,COMPUTED,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",close,21,"Alpha158 CNTD20: Mean(close > Ref(close,1),20) - Mean(close < Ref(close,1),20); signed up/down bar balance",0.00262892,-0.00135051,0.00397943,12.785,0.531,0.00801627,0.49916522,0.02776917,-0.01157663,0.72,25,per_bar_mean_x_bars_per_year
q158_corr_20h,alpha158_rolling_volume_price,conditional,1h,-0.02026721,-0.02026721,0.11917097,0.11917097,-0.170068,-0.170068,-0.170068,-22.6817,0.4303,0.4303,17787,185.6,3302336,0.004198,False,DIRECTION_UNKNOWN,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",close|volume,20,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",3.128e-05,-1.49e-05,4.619e-05,1.4172,0.5004,0.00019301,0.48328159,0.00066862,-0.00051388,0.52,25,per_bar_mean_x_bars_per_year
q158_corr_20h,alpha158_rolling_volume_price,conditional,4h,-0.03141562,-0.03141562,0.12079345,0.12079345,-0.260077,-0.260077,-0.260077,-34.684,0.39,0.39,17785,185.6,3302336,0.004198,False,DIRECTION_UNKNOWN,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",close|volume,20,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",2.707e-05,-6.146e-05,8.853e-05,1.3616,0.4951,0.00074656,0.2666275,0.00258615,-0.00300495,0.56,25,per_bar_mean_x_bars_per_year
q158_corr_20h,alpha158_rolling_volume_price,conditional,24h,-0.04418339,-0.04418339,0.1197273,0.1197273,-0.369034,-0.369034,-0.369034,-49.1868,0.351,0.351,17765,185.6,3302336,0.004198,False,DIRECTION_UNKNOWN,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",close|volume,20,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",0.00032641,-0.0005191,0.00084551,5.0797,0.499,0.00345896,0.38542451,0.01198219,-0.0088255,0.64,25,per_bar_mean_x_bars_per_year
q158_corr_20h,alpha158_rolling_volume_price,conditional,72h,-0.04186235,-0.04186235,0.11732912,0.11732912,-0.356794,-0.356794,-0.356794,-47.4912,0.3558,0.3558,17717,185.6,3302336,0.004198,False,DIRECTION_UNKNOWN,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",close|volume,20,"Alpha158 CORR20: Corr(close, Log(volume+1),20); rolling price-volume level correlation",0.00130277,-0.00115199,0.00245476,7.574,0.487,0.00872852,0.30860187,0.03023649,-0.02251814,0.6,25,per_bar_mean_x_bars_per_year
q158_cord_20h,alpha158_rolling_volume_price,conditional,1h,-0.02198722,-0.02198722,0.11458804,0.11458804,-0.191881,-0.191881,-0.191881,-25.5756,0.4182,0.4182,17766,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",close|volume,21,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",1.266e-05,-3.106e-05,4.372e-05,1.3833,0.4987,0.00016187,0.48571099,0.00056074,-0.00026429,0.64,25,per_bar_mean_x_bars_per_year
q158_cord_20h,alpha158_rolling_volume_price,conditional,4h,-0.03200471,-0.03200471,0.11670113,0.11670113,-0.274245,-0.274245,-0.274245,-36.5518,0.3849,0.3849,17764,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",close|volume,21,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",9.58e-06,-0.00015863,0.00016821,2.6431,0.4965,0.00062552,0.46933517,0.00216688,-0.00136658,0.56,25,per_bar_mean_x_bars_per_year
q158_cord_20h,alpha158_rolling_volume_price,conditional,24h,-0.03973957,-0.03973957,0.1157685,0.1157685,-0.343268,-0.343268,-0.343268,-45.7255,0.3608,0.3608,17744,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",close|volume,21,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",0.00034502,-0.00053744,0.00088246,5.572,0.5016,0.00393327,0.45540004,0.01362525,-0.00787317,0.56,25,per_bar_mean_x_bars_per_year
q158_cord_20h,alpha158_rolling_volume_price,conditional,72h,-0.03503431,-0.03503431,0.1120143,0.1120143,-0.312766,-0.312766,-0.312766,-41.6062,0.3715,0.3715,17696,185.7,3299518,0.005048,False,DIRECTION_UNKNOWN,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",close|volume,21,"Alpha158 CORD20: Corr(close/Ref(close,1), Log(volume/Ref(volume,1)+1),20); rolling return-volume change correlation",0.0012208,-0.00138305,0.00260385,8.428,0.5015,0.0070094,0.31566748,0.02428126,-0.0149759,0.64,25,per_bar_mean_x_bars_per_year
