factor_name,category,expected_direction,formula_proxy,notes,used_in_current_signal,status
mom_72h,momentum,positive,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,False,COMPUTED
mom_120h,momentum,positive,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,False,COMPUTED
rev_1h,reversal,positive,-(close / close_1h_ago - 1); very short-term reversal diagnostic,-(close / close_1h_ago - 1); very short-term reversal diagnostic,False,COMPUTED
rev_72h,reversal,positive,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,False,COMPUTED
vol_ratio_20_80,volatility,conditional,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic","std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",False,DIAGNOSTIC_ONLY
realized_skew_20h,realized_shape,conditional,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,False,DIAGNOSTIC_ONLY
realized_kurt_20h,realized_shape,conditional,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,rolling kurtosis of 1h returns over 20 bars; tail risk / jumpiness diagnostic,False,DIAGNOSTIC_ONLY
amihud_illiquidity_20h,liquidity,negative,"rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized","rolling_mean(abs(ret_1h) / quote_volume, 20); higher illiquidity penalized",False,COMPUTED
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,"SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime","SMA(quote_volume,20) / SMA(quote_volume,80) - 1; medium-vs-long liquidity regime",False,DIAGNOSTIC_ONLY
price_volume_corr_20h,volume_price,conditional,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic","rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",False,DIAGNOSTIC_ONLY
trend_efficiency_24h,trend_quality,positive,"abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move","abs(close/close_24h_ago-1) / sum(abs(ret_1h),24); cleaner directional move",False,COMPUTED
price_pos_120h,price_position,conditional,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,(close - LL120) / (HH120 - LL120 + eps); long-window price location diagnostic,False,DIAGNOSTIC_ONLY
rev_2h,reversal,positive,-(close / close_2h_ago - 1); short-term reversal,-(close / close_2h_ago - 1); short-term reversal,False,COMPUTED
mom_vol_adjusted_20h,momentum,positive,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol","mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",False,COMPUTED
range_breakout_vol_confirm_20h,breakout,positive,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout","breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",False,COMPUTED
volume_pressure_20h,volume_price,positive,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure","rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",False,COMPUTED
xs_rank_mom_accel,cross_sectional_normalized,positive,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller","Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",False,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,"sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance","sum(vol*(ret>0),20)/sum(vol,20); buying pressure ratio; higher = bullish volume dominance",False,COMPUTED
