factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
range_breakout_vol_confirm_20h,breakout,positive,24h,,,,,,,,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",high|low|close|volume,20,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",,,,,
range_breakout_vol_confirm_20h,breakout,positive,72h,,,,,,,,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",high|low|close|volume,20,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",,,,,
volume_pressure_20h,volume_price,positive,1h,-0.01106776,-0.01106776,0.13052441,0.13052441,-0.084795,-0.084795,-0.084795,-11.3086,0.4658,0.4658,17786,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",close|volume,21,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",3.733e-05,-3.468e-05,7.201e-05,2.0893,0.5041
volume_pressure_20h,volume_price,positive,4h,-0.01456372,-0.01456372,0.13248814,0.13248814,-0.109925,-0.109925,-0.109925,-14.6592,0.4486,0.4486,17784,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",close|volume,21,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",0.00015627,-0.00014723,0.0003035,4.3645,0.5051
volume_pressure_20h,volume_price,positive,24h,-0.01636181,-0.01636181,0.1339922,0.1339922,-0.12211,-0.12211,-0.12211,-16.275,0.4491,0.4491,17764,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",close|volume,21,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",0.00041136,-0.00040636,0.00081772,4.6347,0.5068
volume_pressure_20h,volume_price,positive,72h,-0.01227236,-0.01227236,0.13113223,0.13113223,-0.093588,-0.093588,-0.093588,-12.4567,0.4591,0.4591,17716,186.1,3310939,0.001604,False,COMPUTED,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",close|volume,21,"rolling_mean(sign(delta(close, 1)) * volume, 20); directional volume pressure",0.00167108,-0.00190684,0.00357792,10.5088,0.5104
xs_rank_mom_accel,cross_sectional_normalized,positive,1h,-0.02394564,-0.02394564,0.1556744,0.1556744,-0.153819,-0.153819,-0.153819,-20.511,0.4325,0.4325,17781,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",close,25,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",2.413e-05,1.967e-05,4.45e-06,0.1115,0.4917
xs_rank_mom_accel,cross_sectional_normalized,positive,4h,-0.02441933,-0.02441933,0.15501102,0.15501102,-0.157533,-0.157533,-0.157533,-21.0051,0.4345,0.4345,17779,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",close,25,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",0.00018626,3.179e-05,0.00015447,1.9508,0.5001
xs_rank_mom_accel,cross_sectional_normalized,positive,24h,-0.01858248,-0.01858248,0.15716042,0.15716042,-0.118239,-0.118239,-0.118239,-15.7569,0.4499,0.4499,17759,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",close,25,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",0.00064987,0.00027945,0.00037042,1.8939,0.4977
xs_rank_mom_accel,cross_sectional_normalized,positive,72h,-0.01079622,-0.01079622,0.15119905,0.15119905,-0.071404,-0.071404,-0.071404,-9.5026,0.4651,0.4651,17711,186.1,3309609,0.002005,False,COMPUTED,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",close,25,"Per-symbol momentum acceleration (mom_20h - delay(mom_20h, 5)); cross-sectional rank applied by caller",0.00200364,0.00097647,0.00102717,2.8196,0.5033
